cartodb_id,upo___codigo_color,upo___id,upo___id_ca,upo___nombre,upo___nombre_ca,upo___nombre_partido,upo___porciento_escrutado,upo___tipo,upo___ts,created_at,updated_at,the_geom
23,i,14,1,Córdoba,Andalucía,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
24,i,18,1,Granada,Andalucía,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
25,i,21,1,Huelva,Andalucía,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
26,i,23,1,Jaén,Andalucía,PSOE-A,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
27,i,29,1,Málaga,Andalucía,PSOE-A,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
28,i,41,1,Sevilla,Andalucía,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
29,i,22,2,Huesca,Aragón,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
30,i,44,2,Teruel,Aragón,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
31,i,50,2,Zaragoza,Aragón,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
32,i,33,3,Asturias,Asturias,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
33,i,7,4,Illes Balears,Baleares,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
34,i,35,5,Las Palmas,Canarias,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
58,d,27,11,Lugo,Galicia,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
35,i,38,5,Santa Cruz de Tenerife,Canarias,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
36,d,39,6,Cantabria,Cantabria,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
37,d,2,7,Albacete,Castilla La Mancha,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
38,d,13,7,Ciudad Real,Castilla La Mancha,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
39,d,16,7,Cuenca,Castilla La Mancha,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
40,d,19,7,Guadalajara,Castilla La Mancha,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
41,d,45,7,Toledo,Castilla La Mancha,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
42,d,5,8,Avila,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
43,d,9,8,Burgos,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
44,i,24,8,León,Castilla y León,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
45,d,34,8,Palencia,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
46,d,37,8,Salamanca,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
47,d,40,8,Segovia,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
48,d,42,8,Soria,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
49,d,47,8,Valladolid,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
50,d,49,8,Zamora,Castilla y León,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
51,i,8,9,Barcelona,Cataluña,PSC-PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
52,i,17,9,Girona,Cataluña,PSC-PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
53,o,25,9,Lleida,Cataluña,PSC (PSC-PSOE),100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
54,i,43,9,Tarragona,Cataluña,PSC-PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
55,i,6,10,Badajoz,Extremadura,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
56,i,10,10,Cáceres,Extremadura,PSOE,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
57,d,15,11,A Coruña,Galicia,PP,99.92,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
59,d,32,11,Ourense,Galicia,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
60,d,36,11,Pontevedra,Galicia,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
61,d,28,12,Madrid,Madrid,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
62,o,31,13,Navarra,Navarra,UPN-PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
63,i,1,14,Alava,País Vasco,PSE-EE (PSOE),100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
64,i,20,14,Guipúzcoa,País Vasco,PSE-EE (PSOE),100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
65,i,48,14,Vizcaya,País Vasco,PSE-EE (PSOE),100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
66,d,30,15,Murcia,Murcia,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
67,d,26,16,La Rioja,La Rioja,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
68,d,3,17,Alicante / Alacant,C. Valenciana,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
69,d,12,17,Castellón / Castelló,C. Valenciana,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
70,d,46,17,Valencia / València,C. Valenciana,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
71,d,51,18,Ceuta,Ceuta,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
72,d,52,19,Melilla,Melilla,PP,100,3,0,2011-11-18 14:31:48.592982,2011-11-18 14:31:48.604641,
2,i,1,"",Andalucíaeeeeee,"",PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:42:29.536665,
3,i,2,"",Aragónó,"",PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:42:36.728567,
6,i,5,"",Canariasß,"",PSOE,100,2,0,2011-11-18 14:31:48.592982,2011-11-18 14:42:46.433026,
