Country,geometry
Japan,"<Point><coordinates>137.825,36.825</coordinates></Point>"
Japan,"<Point><coordinates>137.975,36.825</coordinates></Point>"
Japan,"<Point><coordinates>138.025,36.825</coordinates></Point>"
Japan,"<Point><coordinates>138.175,36.825</coordinates></Point>"
Japan,"<Point><coordinates>138.225,36.825</coordinates></Point>"
Japan,"<Point><coordinates>138.375,36.825</coordinates></Point>"
Japan,"<Point><coordinates>138.825,36.825</coordinates></Point>"
Japan,"<Point><coordinates>139.175,36.825</coordinates></Point>"
Japan,"<Point><coordinates>139.275,36.825</coordinates></Point>"
United States of America,"<Point><coordinates>-105.225,36.775</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.775</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.775</coordinates></Point>"
Japan,"<Point><coordinates>137.775,36.775</coordinates></Point>"
Japan,"<Point><coordinates>137.975,36.775</coordinates></Point>"
Japan,"<Point><coordinates>138.025,36.775</coordinates></Point>"
Japan,"<Point><coordinates>139.175,36.775</coordinates></Point>"
Japan,"<Point><coordinates>139.225,36.775</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.625,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.725,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.775,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.875,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.925,36.725</coordinates></Point>"
Japan,"<Point><coordinates>138.425,36.725</coordinates></Point>"
Japan,"<Point><coordinates>138.475,36.725</coordinates></Point>"
Japan,"<Point><coordinates>138.575,36.725</coordinates></Point>"
Japan,"<Point><coordinates>138.625,36.725</coordinates></Point>"
Japan,"<Point><coordinates>137.525,36.675</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.675</coordinates></Point>"
Japan,"<Point><coordinates>137.625,36.675</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.675</coordinates></Point>"
Japan,"<Point><coordinates>137.725,36.675</coordinates></Point>"
Japan,"<Point><coordinates>137.775,36.675</coordinates></Point>"
Japan,"<Point><coordinates>137.825,36.675</coordinates></Point>"
Japan,"<Point><coordinates>138.425,36.675</coordinates></Point>"
Japan,"<Point><coordinates>138.475,36.675</coordinates></Point>"
Japan,"<Point><coordinates>138.525,36.675</coordinates></Point>"
Japan,"<Point><coordinates>138.575,36.675</coordinates></Point>"
,"<Point><coordinates>120.825,36.625</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.625</coordinates></Point>"
Japan,"<Point><coordinates>137.625,36.625</coordinates></Point>"
Japan,"<Point><coordinates>137.675,36.625</coordinates></Point>"
Japan,"<Point><coordinates>138.475,36.625</coordinates></Point>"
Japan,"<Point><coordinates>138.525,36.625</coordinates></Point>"
Japan,"<Point><coordinates>139.425,36.625</coordinates></Point>"
South Korea,"<Point><coordinates>129.225,36.575</coordinates></Point>"
Japan,"<Point><coordinates>137.525,36.575</coordinates></Point>"
Japan,"<Point><coordinates>138.025,36.575</coordinates></Point>"
Japan,"<Point><coordinates>138.475,36.575</coordinates></Point>"
Japan,"<Point><coordinates>137.425,36.525</coordinates></Point>"
Japan,"<Point><coordinates>137.475,36.525</coordinates></Point>"
Japan,"<Point><coordinates>137.525,36.525</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.525</coordinates></Point>"
Japan,"<Point><coordinates>137.825,36.525</coordinates></Point>"
Japan,"<Point><coordinates>137.875,36.525</coordinates></Point>"
Japan,"<Point><coordinates>137.975,36.525</coordinates></Point>"
Japan,"<Point><coordinates>138.025,36.525</coordinates></Point>"
Japan,"<Point><coordinates>138.075,36.525</coordinates></Point>"
Japan,"<Point><coordinates>138.325,36.525</coordinates></Point>"
Japan,"<Point><coordinates>138.425,36.525</coordinates></Point>"
Japan,"<Point><coordinates>138.475,36.525</coordinates></Point>"
Pakistan,"<Point><coordinates>73.925,36.475</coordinates></Point>"
United States of America,"<Point><coordinates>-105.225,36.425</coordinates></Point>"
United States of America,"<Point><coordinates>-105.175,36.425</coordinates></Point>"
Japan,"<Point><coordinates>137.125,36.425</coordinates></Point>"
Japan,"<Point><coordinates>137.175,36.425</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.375</coordinates></Point>"
Japan,"<Point><coordinates>137.125,36.375</coordinates></Point>"
Japan,"<Point><coordinates>137.475,36.375</coordinates></Point>"
Japan,"<Point><coordinates>137.825,36.375</coordinates></Point>"
Pakistan,"<Point><coordinates>74.225,36.325</coordinates></Point>"
Japan,"<Point><coordinates>133.275,36.325</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.325</coordinates></Point>"
Japan,"<Point><coordinates>136.825,36.325</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.325</coordinates></Point>"
Pakistan,"<Point><coordinates>74.225,36.275</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.275</coordinates></Point>"
Japan,"<Point><coordinates>137.475,36.275</coordinates></Point>"
Pakistan,"<Point><coordinates>74.375,36.225</coordinates></Point>"
Pakistan,"<Point><coordinates>74.475,36.225</coordinates></Point>"
Pakistan,"<Point><coordinates>74.525,36.225</coordinates></Point>"
Pakistan,"<Point><coordinates>74.575,36.225</coordinates></Point>"
China,"<Point><coordinates>120.125,36.225</coordinates></Point>"
China,"<Point><coordinates>120.175,36.225</coordinates></Point>"
China,"<Point><coordinates>120.225,36.225</coordinates></Point>"
South Korea,"<Point><coordinates>129.225,36.225</coordinates></Point>"
Japan,"<Point><coordinates>133.225,36.225</coordinates></Point>"
Japan,"<Point><coordinates>136.725,36.225</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.225</coordinates></Point>"
Japan,"<Point><coordinates>136.825,36.225</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.225</coordinates></Point>"
Japan,"<Point><coordinates>137.825,36.225</coordinates></Point>"
,"<Point><coordinates>120.125,36.175</coordinates></Point>"
Japan,"<Point><coordinates>133.275,36.175</coordinates></Point>"
Japan,"<Point><coordinates>136.725,36.175</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.175</coordinates></Point>"
Japan,"<Point><coordinates>136.825,36.175</coordinates></Point>"
Japan,"<Point><coordinates>136.875,36.175</coordinates></Point>"
Pakistan,"<Point><coordinates>74.175,36.125</coordinates></Point>"
Japan,"<Point><coordinates>136.725,36.125</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.125</coordinates></Point>"
Japan,"<Point><coordinates>136.825,36.125</coordinates></Point>"
Japan,"<Point><coordinates>136.875,36.125</coordinates></Point>"
Japan,"<Point><coordinates>136.925,36.125</coordinates></Point>"
Iran,"<Point><coordinates>53.425,36.075</coordinates></Point>"
Japan,"<Point><coordinates>136.675,36.075</coordinates></Point>"
Japan,"<Point><coordinates>136.725,36.075</coordinates></Point>"
Japan,"<Point><coordinates>136.775,36.075</coordinates></Point>"
Japan,"<Point><coordinates>136.825,36.075</coordinates></Point>"
Japan,"<Point><coordinates>136.875,36.075</coordinates></Point>"
Japan,"<Point><coordinates>137.525,36.075</coordinates></Point>"
Japan,"<Point><coordinates>137.575,36.075</coordinates></Point>"
Japan,"<Point><coordinates>136.725,36.025</coordinates></Point>"
Japan,"<Point><coordinates>136.825,36.025</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.975</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.975</coordinates></Point>"
Japan,"<Point><coordinates>136.725,35.975</coordinates></Point>"
Japan,"<Point><coordinates>137.475,35.975</coordinates></Point>"
Pakistan,"<Point><coordinates>74.575,35.925</coordinates></Point>"
Japan,"<Point><coordinates>136.625,35.925</coordinates></Point>"
Japan,"<Point><coordinates>136.725,35.925</coordinates></Point>"
Japan,"<Point><coordinates>136.775,35.925</coordinates></Point>"
Japan,"<Point><coordinates>136.825,35.925</coordinates></Point>"
Pakistan,"<Point><coordinates>74.225,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.225,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.475,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.525,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.575,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.625,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.675,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.725,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.775,35.875</coordinates></Point>"
Japan,"<Point><coordinates>136.825,35.875</coordinates></Point>"
Pakistan,"<Point><coordinates>74.375,35.825</coordinates></Point>"
Pakistan,"<Point><coordinates>74.425,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.225,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.275,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.475,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.525,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.625,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.675,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.725,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.775,35.825</coordinates></Point>"
Japan,"<Point><coordinates>136.825,35.825</coordinates></Point>"
Pakistan,"<Point><coordinates>71.625,35.775</coordinates></Point>"
Pakistan,"<Point><coordinates>72.075,35.775</coordinates></Point>"
Pakistan,"<Point><coordinates>73.325,35.775</coordinates></Point>"
Pakistan,"<Point><coordinates>73.925,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.275,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.475,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.525,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.675,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.725,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.775,35.775</coordinates></Point>"
Japan,"<Point><coordinates>136.875,35.775</coordinates></Point>"
Pakistan,"<Point><coordinates>72.025,35.725</coordinates></Point>"
Pakistan,"<Point><coordinates>73.325,35.725</coordinates></Point>"
Pakistan,"<Point><coordinates>73.375,35.725</coordinates></Point>"
Pakistan,"<Point><coordinates>73.875,35.725</coordinates></Point>"
Japan,"<Point><coordinates>136.275,35.725</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.725</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.725</coordinates></Point>"
Japan,"<Point><coordinates>136.525,35.725</coordinates></Point>"
Pakistan,"<Point><coordinates>71.975,35.675</coordinates></Point>"
Pakistan,"<Point><coordinates>72.175,35.675</coordinates></Point>"
Japan,"<Point><coordinates>135.025,35.675</coordinates></Point>"
Japan,"<Point><coordinates>135.125,35.675</coordinates></Point>"
Japan,"<Point><coordinates>135.175,35.675</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.675</coordinates></Point>"
Japan,"<Point><coordinates>136.675,35.675</coordinates></Point>"
Pakistan,"<Point><coordinates>71.625,35.625</coordinates></Point>"
Pakistan,"<Point><coordinates>72.175,35.625</coordinates></Point>"
Pakistan,"<Point><coordinates>72.375,35.625</coordinates></Point>"
Pakistan,"<Point><coordinates>72.675,35.625</coordinates></Point>"
Japan,"<Point><coordinates>135.125,35.625</coordinates></Point>"
Japan,"<Point><coordinates>135.175,35.625</coordinates></Point>"
Japan,"<Point><coordinates>136.275,35.625</coordinates></Point>"
Afghanistan,"<Point><coordinates>71.375,35.575</coordinates></Point>"
Pakistan,"<Point><coordinates>71.925,35.575</coordinates></Point>"
Pakistan,"<Point><coordinates>72.425,35.575</coordinates></Point>"
Pakistan,"<Point><coordinates>72.525,35.575</coordinates></Point>"
,"<Point><coordinates>133.125,35.575</coordinates></Point>"
Japan,"<Point><coordinates>134.625,35.575</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.575</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.575</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.575</coordinates></Point>"
Pakistan,"<Point><coordinates>71.875,35.525</coordinates></Point>"
Pakistan,"<Point><coordinates>72.375,35.525</coordinates></Point>"
Pakistan,"<Point><coordinates>72.675,35.525</coordinates></Point>"
Pakistan,"<Point><coordinates>73.125,35.525</coordinates></Point>"
Japan,"<Point><coordinates>134.675,35.525</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.525</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.525</coordinates></Point>"
Pakistan,"<Point><coordinates>72.525,35.475</coordinates></Point>"
Pakistan,"<Point><coordinates>72.825,35.475</coordinates></Point>"
Pakistan,"<Point><coordinates>72.875,35.475</coordinates></Point>"
Pakistan,"<Point><coordinates>73.475,35.475</coordinates></Point>"
Japan,"<Point><coordinates>134.425,35.475</coordinates></Point>"
Japan,"<Point><coordinates>135.775,35.475</coordinates></Point>"
Pakistan,"<Point><coordinates>71.825,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>72.575,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>72.975,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>73.025,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>73.325,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>73.375,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>73.425,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>75.325,35.425</coordinates></Point>"
Japan,"<Point><coordinates>135.875,35.425</coordinates></Point>"
Pakistan,"<Point><coordinates>71.775,35.375</coordinates></Point>"
Pakistan,"<Point><coordinates>72.225,35.375</coordinates></Point>"
Pakistan,"<Point><coordinates>72.275,35.375</coordinates></Point>"
Pakistan,"<Point><coordinates>73.075,35.375</coordinates></Point>"
Pakistan,"<Point><coordinates>73.275,35.375</coordinates></Point>"
Japan,"<Point><coordinates>133.525,35.375</coordinates></Point>"
Pakistan,"<Point><coordinates>73.125,35.325</coordinates></Point>"
Pakistan,"<Point><coordinates>74.225,35.325</coordinates></Point>"
Japan,"<Point><coordinates>135.825,35.325</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.325</coordinates></Point>"
Pakistan,"<Point><coordinates>71.825,35.275</coordinates></Point>"
Pakistan,"<Point><coordinates>73.375,35.275</coordinates></Point>"
Japan,"<Point><coordinates>134.075,35.275</coordinates></Point>"
Japan,"<Point><coordinates>134.375,35.275</coordinates></Point>"
Japan,"<Point><coordinates>135.625,35.275</coordinates></Point>"
Japan,"<Point><coordinates>135.875,35.275</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.275</coordinates></Point>"
Japan,"<Point><coordinates>136.475,35.275</coordinates></Point>"
Japan,"<Point><coordinates>137.975,35.275</coordinates></Point>"
China,"<Point><coordinates>116.675,35.225</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.225</coordinates></Point>"
Japan,"<Point><coordinates>136.425,35.225</coordinates></Point>"
Pakistan,"<Point><coordinates>72.325,35.175</coordinates></Point>"
Pakistan,"<Point><coordinates>72.375,35.175</coordinates></Point>"
Pakistan,"<Point><coordinates>72.425,35.175</coordinates></Point>"
China,"<Point><coordinates>116.625,35.175</coordinates></Point>"
China,"<Point><coordinates>116.675,35.175</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.175</coordinates></Point>"
Afghanistan,"<Point><coordinates>71.575,35.125</coordinates></Point>"
Pakistan,"<Point><coordinates>73.175,35.125</coordinates></Point>"
Pakistan,"<Point><coordinates>73.275,35.125</coordinates></Point>"
China,"<Point><coordinates>116.675,35.125</coordinates></Point>"
Japan,"<Point><coordinates>136.375,35.125</coordinates></Point>"
China,"<Point><coordinates>116.675,35.075</coordinates></Point>"
Japan,"<Point><coordinates>136.325,35.075</coordinates></Point>"
Pakistan,"<Point><coordinates>72.625,35.025</coordinates></Point>"
China,"<Point><coordinates>116.725,35.025</coordinates></Point>"
China,"<Point><coordinates>116.875,35.025</coordinates></Point>"
Pakistan,"<Point><coordinates>73.375,34.975</coordinates></Point>"
Pakistan,"<Point><coordinates>74.375,34.975</coordinates></Point>"
China,"<Point><coordinates>116.775,34.975</coordinates></Point>"
China,"<Point><coordinates>116.825,34.975</coordinates></Point>"
China,"<Point><coordinates>116.925,34.975</coordinates></Point>"
Pakistan,"<Point><coordinates>73.325,34.925</coordinates></Point>"
Pakistan,"<Point><coordinates>73.675,34.925</coordinates></Point>"
Pakistan,"<Point><coordinates>73.725,34.925</coordinates></Point>"
Pakistan,"<Point><coordinates>74.225,34.925</coordinates></Point>"
China,"<Point><coordinates>116.875,34.925</coordinates></Point>"
Pakistan,"<Point><coordinates>73.275,34.875</coordinates></Point>"
Pakistan,"<Point><coordinates>73.575,34.875</coordinates></Point>"
Pakistan,"<Point><coordinates>73.625,34.875</coordinates></Point>"
Pakistan,"<Point><coordinates>74.175,34.875</coordinates></Point>"
Pakistan,"<Point><coordinates>74.375,34.875</coordinates></Point>"
Pakistan,"<Point><coordinates>74.425,34.875</coordinates></Point>"
Afghanistan,"<Point><coordinates>70.675,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>73.275,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>73.325,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>73.375,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>73.575,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>74.125,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>74.175,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>74.325,34.825</coordinates></Point>"
China,"<Point><coordinates>116.975,34.825</coordinates></Point>"
Pakistan,"<Point><coordinates>73.175,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>73.475,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>73.575,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.025,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.125,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.175,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.225,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.275,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.325,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.375,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.425,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.525,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.625,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.675,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.725,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.775,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>74.825,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>75.075,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>75.125,34.775</coordinates></Point>"
China,"<Point><coordinates>119.175,34.775</coordinates></Point>"
,"<Point><coordinates>119.225,34.775</coordinates></Point>"
South Korea,"<Point><coordinates>125.975,34.775</coordinates></Point>"
Pakistan,"<Point><coordinates>73.925,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>73.975,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>74.075,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>74.125,34.725</coordinates></Point>"
India,"<Point><coordinates>74.225,34.725</coordinates></Point>"
India,"<Point><coordinates>74.275,34.725</coordinates></Point>"
India,"<Point><coordinates>74.325,34.725</coordinates></Point>"
India,"<Point><coordinates>74.375,34.725</coordinates></Point>"
India,"<Point><coordinates>74.425,34.725</coordinates></Point>"
India,"<Point><coordinates>74.475,34.725</coordinates></Point>"
India,"<Point><coordinates>74.525,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>74.675,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>74.825,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>74.875,34.725</coordinates></Point>"
China,"<Point><coordinates>117.125,34.725</coordinates></Point>"
China,"<Point><coordinates>117.175,34.725</coordinates></Point>"
China,"<Point><coordinates>119.175,34.725</coordinates></Point>"
Pakistan,"<Point><coordinates>73.775,34.675</coordinates></Point>"
India,"<Point><coordinates>74.025,34.675</coordinates></Point>"
India,"<Point><coordinates>74.075,34.675</coordinates></Point>"
India,"<Point><coordinates>74.275,34.675</coordinates></Point>"
India,"<Point><coordinates>74.325,34.675</coordinates></Point>"
India,"<Point><coordinates>74.375,34.675</coordinates></Point>"
India,"<Point><coordinates>74.425,34.675</coordinates></Point>"
India,"<Point><coordinates>74.475,34.675</coordinates></Point>"
India,"<Point><coordinates>74.525,34.675</coordinates></Point>"
Pakistan,"<Point><coordinates>74.925,34.675</coordinates></Point>"
China,"<Point><coordinates>117.125,34.675</coordinates></Point>"
China,"<Point><coordinates>117.225,34.675</coordinates></Point>"
China,"<Point><coordinates>117.275,34.675</coordinates></Point>"
Pakistan,"<Point><coordinates>73.625,34.625</coordinates></Point>"
India,"<Point><coordinates>74.075,34.625</coordinates></Point>"
India,"<Point><coordinates>74.175,34.625</coordinates></Point>"
India,"<Point><coordinates>74.475,34.625</coordinates></Point>"
India,"<Point><coordinates>74.525,34.625</coordinates></Point>"
India,"<Point><coordinates>74.725,34.625</coordinates></Point>"
India,"<Point><coordinates>74.775,34.625</coordinates></Point>"
India,"<Point><coordinates>74.825,34.625</coordinates></Point>"
India,"<Point><coordinates>74.875,34.625</coordinates></Point>"
India,"<Point><coordinates>75.025,34.625</coordinates></Point>"
China,"<Point><coordinates>119.475,34.625</coordinates></Point>"
Pakistan,"<Point><coordinates>73.725,34.575</coordinates></Point>"
India,"<Point><coordinates>74.075,34.575</coordinates></Point>"
India,"<Point><coordinates>74.525,34.575</coordinates></Point>"
India,"<Point><coordinates>74.625,34.575</coordinates></Point>"
India,"<Point><coordinates>74.675,34.575</coordinates></Point>"
India,"<Point><coordinates>74.875,34.575</coordinates></Point>"
India,"<Point><coordinates>74.925,34.575</coordinates></Point>"
India,"<Point><coordinates>74.975,34.575</coordinates></Point>"
India,"<Point><coordinates>75.125,34.575</coordinates></Point>"
India,"<Point><coordinates>75.225,34.575</coordinates></Point>"
India,"<Point><coordinates>75.275,34.575</coordinates></Point>"
China,"<Point><coordinates>119.475,34.575</coordinates></Point>"
China,"<Point><coordinates>119.525,34.575</coordinates></Point>"
India,"<Point><coordinates>75.025,34.525</coordinates></Point>"
India,"<Point><coordinates>75.075,34.525</coordinates></Point>"
India,"<Point><coordinates>75.125,34.525</coordinates></Point>"
India,"<Point><coordinates>75.175,34.525</coordinates></Point>"
India,"<Point><coordinates>75.225,34.525</coordinates></Point>"
India,"<Point><coordinates>75.275,34.525</coordinates></Point>"
India,"<Point><coordinates>75.325,34.525</coordinates></Point>"
China,"<Point><coordinates>117.175,34.525</coordinates></Point>"
China,"<Point><coordinates>119.575,34.525</coordinates></Point>"
China,"<Point><coordinates>119.625,34.525</coordinates></Point>"
India,"<Point><coordinates>74.025,34.475</coordinates></Point>"
India,"<Point><coordinates>74.775,34.475</coordinates></Point>"
China,"<Point><coordinates>117.225,34.475</coordinates></Point>"
China,"<Point><coordinates>119.675,34.475</coordinates></Point>"
China,"<Point><coordinates>119.725,34.475</coordinates></Point>"
India,"<Point><coordinates>73.975,34.425</coordinates></Point>"
China,"<Point><coordinates>119.825,34.425</coordinates></Point>"
China,"<Point><coordinates>119.875,34.425</coordinates></Point>"
China,"<Point><coordinates>119.925,34.425</coordinates></Point>"
China,"<Point><coordinates>119.975,34.425</coordinates></Point>"
India,"<Point><coordinates>74.025,34.375</coordinates></Point>"
