Vuelo,Compañía,Estado,Retraso,Fecha,Hora Programada,Origen
AF2348,AIR FRANCE,22:00,0.0,12/04/11,22:00,PARIS /CHARLES DE GAULLE
AF3202,AIR FRANCE,10:15,0.0,13/04/11,10:15,BURDEOS
AF3206,AIR FRANCE,16:30,0.0,12/04/11,16:30,NANTES-ATLANTIQUE
AF4563,AIR FRANCE,13:35,0.0,12/04/11,13:35,IBIZA
AF4851,AIR FRANCE,7:50,,13/04/11,7:50,PALMA DE MALLORCA
AF4853,AIR FRANCE,10:55,0.0,13/04/11,10:55,PALMA DE MALLORCA
AF4853,AIR FRANCE,10:50,-5.0,12/04/11,10:55,PALMA DE MALLORCA
AF4857,AIR FRANCE,13:55,0.0,12/04/11,13:55,PALMA DE MALLORCA
AF4859,AIR FRANCE,16:55,0.0,12/04/11,16:55,PALMA DE MALLORCA
AF4861,AIR FRANCE,10:20,0.0,13/04/11,10:20,MENORCA
AF4877,AIR FRANCE,11:25,0.0,13/04/11,11:25,GRAN CANARIA
AF4877,AIR FRANCE,11:23,-2.0,12/04/11,11:25,GRAN CANARIA
AF4881,AIR FRANCE,22:05,0.0,12/04/11,22:05,IBIZA
AF5894,AIR FRANCE,21:25,0.0,12/04/11,21:25,LYON
AF5898,AIR FRANCE,16:55,0.0,12/04/11,16:55,LYON
AFL1492,AEROFLOT,11:25,0.0,13/04/11,11:25,GRAN CANARIA
AFL1492,AEROFLOT,11:23,-2.0,12/04/11,11:25,GRAN CANARIA
AFL1545,AEROFLOT,10:20,0.0,13/04/11,10:20,MENORCA
AFL1547,AEROFLOT,10:55,0.0,13/04/11,10:55,PALMA DE MALLORCA
AFL1547,AEROFLOT,10:50,-5.0,12/04/11,10:55,PALMA DE MALLORCA
AFL1580,AEROFLOT,15:00,0.0,12/04/11,15:00,MADRID-BARAJAS
AFL1653,AEROFLOT,15:15,0.0,12/04/11,15:15,LANZAROTE
AFL1668,AEROFLOT,23:15,0.0,12/04/11,23:15,TENERIFE NORTE
AFL1675,AEROFLOT,22:05,0.0,12/04/11,22:05,IBIZA
AFL1693,AEROFLOT,21:10,0.0,12/04/11,21:10,BARCELONA
AFL287,AEROFLOT,12:35,0.0,13/04/11,12:35,MOSCU /SHEREMETYEVO
AFL287,AEROFLOT,12:25,-10.0,12/04/11,12:35,MOSCU /SHEREMETYEVO
AM6010,AEROMEXICO (AEROVIAS DE MEJICO),11:15,0.0,13/04/11,11:15,PARIS /CHARLES DE GAULLE
AM6010,AEROMEXICO (AEROVIAS DE MEJICO),11:06,-9.0,12/04/11,11:15,PARIS /CHARLES DE GAULLE
AM6011,AEROMEXICO (AEROVIAS DE MEJICO),14:35,0.0,12/04/11,14:35,PARIS /CHARLES DE GAULLE
AM6012,AEROMEXICO (AEROVIAS DE MEJICO),17:25,0.0,12/04/11,17:25,PARIS /CHARLES DE GAULLE
AM6806,AEROMEXICO (AEROVIAS DE MEJICO),8:20,,13/04/11,8:20,MADRID-BARAJAS
AM6807,AEROMEXICO (AEROVIAS DE MEJICO),19:55,0.0,12/04/11,19:55,MADRID-BARAJAS
AM6808,AEROMEXICO (AEROVIAS DE MEJICO),15:55,0.0,12/04/11,15:55,MADRID-BARAJAS
AM6824,AEROMEXICO (AEROVIAS DE MEJICO),15:15,0.0,12/04/11,15:15,LANZAROTE
AM6826,AEROMEXICO (AEROVIAS DE MEJICO),23:15,0.0,12/04/11,23:15,TENERIFE NORTE
AM6829,AEROMEXICO (AEROVIAS DE MEJICO),15:00,0.0,12/04/11,15:00,MADRID-BARAJAS
AM6952,AEROMEXICO (AEROVIAS DE MEJICO),21:10,0.0,12/04/11,21:10,PALMA DE MALLORCA
AM6953,AEROMEXICO (AEROVIAS DE MEJICO),16:55,0.0,12/04/11,16:55,PALMA DE MALLORCA
AM6954,AEROMEXICO (AEROVIAS DE MEJICO),18:25,0.0,12/04/11,18:25,MENORCA
AUA395,AUSTRIAN AIRLINES,22:40,0.0,12/04/11,22:40,VIENA
AUA397,AUSTRIAN AIRLINES,12:35,-15.0,12/04/11,12:50,VIENA
AUA397,AUSTRIAN AIRLINES,12:50,0.0,13/04/11,12:50,VIENA
AUA7465,AUSTRIAN AIRLINES,17:20,0.0,12/04/11,17:20,MUNICH
AUA7467,AUSTRIAN AIRLINES,21:20,0.0,12/04/11,21:20,MUNICH
AUA8144,AUSTRIAN AIRLINES,11:55,0.0,13/04/11,11:55,LISBOA
AUA8144,AUSTRIAN AIRLINES,12:50,55.0,12/04/11,11:55,LISBOA
AUA8842,AUSTRIAN AIRLINES,10:36,-9.0,12/04/11,10:45,SEVILLA
AUA8850,AUSTRIAN AIRLINES,23:20,0.0,12/04/11,23:20,ASTURIAS
AUA8852,AUSTRIAN AIRLINES,17:15,0.0,12/04/11,17:15,MADRID-BARAJAS
AUA8858,AUSTRIAN AIRLINES,11:05,0.0,13/04/11,11:05,VIGO
AUA8858,AUSTRIAN AIRLINES,10:55,-10.0,12/04/11,11:05,VIGO
AVA018,AVIANCA,14:30,-20.0,12/04/11,14:50,BOGOTA /EL DORADO
AVA2456,AVIANCA,9:15,,13/04/11,9:15,NEWARK - N. JERSEY
AVA6078,AVIANCA,17:25,0.0,12/04/11,17:25,MADRID-BARAJAS
AVA6242,AVIANCA,16:55,0.0,12/04/11,16:55,MADRID-BARAJAS
AVA6243,AVIANCA,14:55,0.0,12/04/11,14:55,MADRID-BARAJAS
AZ074,ALITALIA COMPAGNIA AEREA ITALIANA SPA,10:55,0.0,13/04/11,10:55,ROMA /FIUMICINO
AZ074,ALITALIA COMPAGNIA AEREA ITALIANA SPA,10:46,-9.0,12/04/11,10:55,ROMA /FIUMICINO
AZ076,ALITALIA COMPAGNIA AEREA ITALIANA SPA,17:55,0.0,12/04/11,17:55,ROMA /FIUMICINO
AZ078,ALITALIA COMPAGNIA AEREA ITALIANA SPA,23:20,0.0,12/04/11,23:20,ROMA /FIUMICINO
AZ080,ALITALIA COMPAGNIA AEREA ITALIANA SPA,19:10,0.0,12/04/11,19:10,MILAN /LINATE
AZ2401,ALITALIA COMPAGNIA AEREA ITALIANA SPA,13:35,0.0,12/04/11,13:35,IBIZA
AZ2403,ALITALIA COMPAGNIA AEREA ITALIANA SPA,11:25,0.0,13/04/11,11:25,GRAN CANARIA
AZ2403,ALITALIA COMPAGNIA AEREA ITALIANA SPA,11:23,-2.0,12/04/11,11:25,GRAN CANARIA
AZ2407,ALITALIA COMPAGNIA AEREA ITALIANA SPA,7:50,,13/04/11,7:50,PALMA DE MALLORCA
AZ2409,ALITALIA COMPAGNIA AEREA ITALIANA SPA,10:55,0.0,13/04/11,10:55,PALMA DE MALLORCA
AZ2409,ALITALIA COMPAGNIA AEREA ITALIANA SPA,10:50,-5.0,12/04/11,10:55,PALMA DE MALLORCA
AZ2413,ALITALIA COMPAGNIA AEREA ITALIANA SPA,13:55,0.0,12/04/11,13:55,PALMA DE MALLORCA
AZ2415,ALITALIA COMPAGNIA AEREA ITALIANA SPA,16:55,0.0,12/04/11,16:55,PALMA DE MALLORCA
AZ2733,ALITALIA COMPAGNIA AEREA ITALIANA SPA,15:15,0.0,12/04/11,15:15,LANZAROTE
AZ2785,ALITALIA COMPAGNIA AEREA ITALIANA SPA,23:15,0.0,12/04/11,23:15,TENERIFE NORTE
AZ7098,ALITALIA COMPAGNIA AEREA ITALIANA SPA,13:30,0.0,12/04/11,13:30,MILAN /LINATE
AZ7894,ALITALIA COMPAGNIA AEREA ITALIANA SPA,10:15,-5.0,12/04/11,10:20,MILAN /LINATE
BAW0472,BRITISH AIRWAYS,9:25,,13/04/11,9:25,LONDRES / HEATHROW
BAW0478,BRITISH AIRWAYS,10:15,0.0,13/04/11,10:15,LONDRES / HEATHROW
BAW0480,BRITISH AIRWAYS,18:30,0.0,12/04/11,18:30,LONDRES / HEATHROW
BAW0482,BRITISH AIRWAYS,21:25,0.0,12/04/11,21:25,LONDRES / HEATHROW
BAW0484,BRITISH AIRWAYS,12:25,0.0,13/04/11,12:25,LONDRES / HEATHROW
BAW0484,BRITISH AIRWAYS,13:05,40.0,12/04/11,12:25,LONDRES / HEATHROW
BAW0486,BRITISH AIRWAYS,19:50,0.0,12/04/11,19:50,LONDRES / HEATHROW
BAW1577,BRITISH AIRWAYS,10:25,0.0,13/04/11,10:25,NUEVA YORK-J.F.KENNEDY
BAW1577,BRITISH AIRWAYS,11:11,46.0,12/04/11,10:25,NUEVA YORK-J.F.KENNEDY
BAW470,BRITISH AIRWAYS,19:20,0.0,12/04/11,19:20,LONDRES / HEATHROW
BAW8471,BRITISH AIRWAYS,12:20,0.0,13/04/11,12:20,LONDRES /LONDON CITY APT.
BER7524,AIR BERLIN INC.,19:20,0.0,12/04/11,19:20,PALMA DE MALLORCA
BER7526,AIR BERLIN INC.,15:50,0.0,12/04/11,15:50,PALMA DE MALLORCA
BER8166,AIR BERLIN INC.,12:35,0.0,13/04/11,12:35,HAMBURGO
BER8564,AIR BERLIN INC.,19:35,0.0,12/04/11,19:35,DUSSELDORF
BER8792,AIR BERLIN INC.,11:20,0.0,13/04/11,11:20,BERLIN /TEGEL
BER8792,AIR BERLIN INC.,11:14,-6.0,12/04/11,11:20,BERLIN /TEGEL
BLF5731,"BLUE1 OY, FINLAND",14:40,0.0,12/04/11,14:40,BRUSELAS
BMA5303,BRITISH MIDLAND AIRWAYS,14:40,0.0,12/04/11,14:40,BRUSELAS
BMA5305,BRITISH MIDLAND AIRWAYS,20:25,0.0,12/04/11,20:25,BRUSELAS
BMA5513,BRITISH MIDLAND AIRWAYS,8:30,,13/04/11,8:30,BRUSELAS
BTI681,AIR BALTIC CORPORATION,12:45,-20.0,12/04/11,13:05,RIGA
CIM3013,CIMBER AIR,15:30,0.0,12/04/11,15:30,COPENHAGUE
COA5078,CONTINENTAL AIRLINES INC.,11:45,0.0,13/04/11,11:45,FRANKFURT
COA5078,CONTINENTAL AIRLINES INC.,11:56,11.0,12/04/11,11:45,FRANKFURT
COA5089,CONTINENTAL AIRLINES INC.,15:15,0.0,12/04/11,15:15,FRANKFURT
COA9715,CONTINENTAL AIRLINES INC.,19:40,0.0,12/04/11,19:40,ALICANTE
COA9739,CONTINENTAL AIRLINES INC.,9:20,,13/04/11,9:20,PALMA DE MALLORCA
COA9745,CONTINENTAL AIRLINES INC.,7:55,,13/04/11,7:55,VALENCIA
CTN374,CROATIA AIRLINES,17:15,0.0,12/04/11,17:15,ZAGREB
DAH2012,AIR ALGERIE,12:45,25.0,12/04/11,12:20,ARGEL/ HOUARI BOUMEDIEN
DL094,DELTA AIR LINES,7:55,,13/04/11,7:55,NUEVA YORK-J.F.KENNEDY
DL114,DELTA AIR LINES,8:55,,13/04/11,8:55,ATLANTA
DL8330,DELTA AIR LINES,17:25,0.0,12/04/11,17:25,PARIS /CHARLES DE GAULLE
DL8392,DELTA AIR LINES,11:06,-9.0,12/04/11,11:15,PARIS /CHARLES DE GAULLE
DL8699,DELTA AIR LINES,9:20,,13/04/11,9:20,PARIS /CHARLES DE GAULLE
DL8704,DELTA AIR LINES,14:35,0.0,12/04/11,14:35,PARIS /CHARLES DE GAULLE
DL9601,DELTA AIR LINES,10:05,0.0,13/04/11,10:05,AMSTERDAM/SCHIPHOL
DL9602,DELTA AIR LINES,11:53,-22.0,12/04/11,12:15,AMSTERDAM/SCHIPHOL
DL9603,DELTA AIR LINES,15:05,0.0,12/04/11,15:05,AMSTERDAM/SCHIPHOL
DL9604,DELTA AIR LINES,17:05,0.0,12/04/11,17:05,AMSTERDAM/SCHIPHOL
EIN562,AER LINGUS,10:10,0.0,13/04/11,10:10,DUBLIN
EIN564,AER LINGUS,21:55,0.0,12/04/11,21:55,DUBLIN
ETD7273,ETIHAD AIRWAYS,14:40,0.0,12/04/11,14:40,BRUSELAS
ETD7275,ETIHAD AIRWAYS,20:25,0.0,12/04/11,20:25,BRUSELAS
EZS1077,"EASYJET SWITZERLAND, S.A.",20:10,0.0,12/04/11,20:10,BASEL /MULHOUSE
EZS1401,"EASYJET SWITZERLAND, S.A.",11:25,0.0,13/04/11,11:25,GINEBRA
EZS1401,"EASYJET SWITZERLAND, S.A.",11:10,-15.0,12/04/11,11:25,GINEBRA
EZS1403,"EASYJET SWITZERLAND, S.A.",16:25,0.0,12/04/11,16:25,GINEBRA
EZS1405,"EASYJET SWITZERLAND, S.A.",20:15,0.0,12/04/11,20:15,GINEBRA
EZS4525,"EASYJET SWITZERLAND, S.A.",11:30,0.0,13/04/11,11:30,BERLIN /SCHONEFELD
EZS4525,"EASYJET SWITZERLAND, S.A.",11:22,-8.0,12/04/11,11:30,BERLIN /SCHONEFELD
EZY1073,EASYJET AIRLINE CO. LTD.,10:10,0.0,13/04/11,10:10,BASEL /MULHOUSE
EZY2197,EASYJET AIRLINE CO. LTD.,21:15,0.0,12/04/11,21:15,AMSTERDAM/SCHIPHOL
EZY2265,EASYJET AIRLINE CO. LTD.,17:00,0.0,12/04/11,17:00,LONDRES /LUTON
EZY2759,EASYJET AIRLINE CO. LTD.,8:10,,13/04/11,8:10,MILAN /MALPENSA
EZY2761,EASYJET AIRLINE CO. LTD.,13:10,10.0,12/04/11,13:00,MILAN /MALPENSA
EZY2765,EASYJET AIRLINE CO. LTD.,18:10,0.0,12/04/11,18:10,MILAN /MALPENSA
EZY2767,EASYJET AIRLINE CO. LTD.,19:35,0.0,12/04/11,19:35,MILAN /MALPENSA
EZY3031,EASYJET AIRLINE CO. LTD.,12:40,-35.0,12/04/11,13:15,LONDRES /STANSTED
EZY3033,EASYJET AIRLINE CO. LTD.,21:20,0.0,12/04/11,21:20,LONDRES /STANSTED
EZY3915,EASYJET AIRLINE CO. LTD.,9:25,,13/04/11,9:25,PARIS /CHARLES DE GAULLE
EZY3915,EASYJET AIRLINE CO. LTD.,13:00,,12/04/11,9:25,PARIS /CHARLES DE GAULLE
EZY3917,EASYJET AIRLINE CO. LTD.,12:55,0.0,13/04/11,12:55,PARIS /CHARLES DE GAULLE
EZY3917,EASYJET AIRLINE CO. LTD.,12:35,-20.0,12/04/11,12:55,PARIS /CHARLES DE GAULLE
EZY3919,EASYJET AIRLINE CO. LTD.,16:05,0.0,12/04/11,16:05,PARIS /CHARLES DE GAULLE
EZY3921,EASYJET AIRLINE CO. LTD.,20:10,0.0,12/04/11,20:10,PARIS /CHARLES DE GAULLE
EZY4415,EASYJET AIRLINE CO. LTD.,11:00,-5.0,12/04/11,11:05,LYON
EZY4415,EASYJET AIRLINE CO. LTD.,11:05,0.0,13/04/11,11:05,LYON
EZY4529,EASYJET AIRLINE CO. LTD.,20:55,0.0,12/04/11,20:55,BERLIN /SCHONEFELD
EZY6025,EASYJET AIRLINE CO. LTD.,13:50,0.0,12/04/11,13:50,BRISTOL
EZY6401,EASYJET AIRLINE CO. LTD.,13:00,0.0,13/04/11,13:00,NEWCASTLE
EZY7203,EASYJET AIRLINE CO. LTD.,10:20,0.0,13/04/11,10:20,LIVERPOOL
EZY7207,EASYJET AIRLINE CO. LTD.,20:45,0.0,12/04/11,20:45,LIVERPOOL
EZY7995,EASYJET AIRLINE CO. LTD.,21:20,0.0,12/04/11,21:20,LISBOA
EZY8571,EASYJET AIRLINE CO. LTD.,10:00,0.0,13/04/11,10:00,LONDRES /GATWICK
EZY8573,EASYJET AIRLINE CO. LTD.,14:15,0.0,12/04/11,14:15,LONDRES /GATWICK
EZY8577,EASYJET AIRLINE CO. LTD.,18:50,0.0,12/04/11,18:50,LONDRES /GATWICK
EZY8579,EASYJET AIRLINE CO. LTD.,21:00,0.0,12/04/11,21:00,LONDRES /GATWICK
EZY8581,EASYJET AIRLINE CO. LTD.,23:10,0.0,12/04/11,23:10,LONDRES /GATWICK
FIN3505,FINNAIR,20:20,0.0,12/04/11,20:20,HELSINKI
GWI2520,GERMANWINGS GMBH,18:55,0.0,12/04/11,18:55,STUTTGART
GWI526,GERMANWINGS GMBH,19:30,0.0,12/04/11,19:30,COLONIA/BONN
HG8010,NL LUFTFAHRT GMBH,9:10,,13/04/11,9:10,VIENA
HV5133,TRANSAVIA.AIRLINES CV,20:45,0.0,12/04/11,20:45,AMSTERDAM/SCHIPHOL
HV6061,TRANSAVIA.AIRLINES CV,12:30,-15.0,12/04/11,12:45,ROTTERDAM
IBE0650,IBERIA,8:00,,13/04/11,8:00,MADRID-BARAJAS
IBE0720,IBERIA,8:30,,13/04/11,8:30,MADRID-BARAJAS
IBE0740,IBERIA,8:50,,13/04/11,8:50,MADRID-BARAJAS
IBE0800,IBERIA,9:10,,13/04/11,9:10,MADRID-BARAJAS
IBE0830,IBERIA,9:40,,13/04/11,9:40,MADRID-BARAJAS
IBE0910,IBERIA,10:20,0.0,13/04/11,10:20,MADRID-BARAJAS
IBE0910,IBERIA,10:39,19.0,12/04/11,10:20,MADRID-BARAJAS
IBE0950,IBERIA,11:00,0.0,13/04/11,11:00,MADRID-BARAJAS
IBE0950,IBERIA,11:18,18.0,12/04/11,11:00,MADRID-BARAJAS
IBE1046,IBERIA,11:55,0.0,13/04/11,11:55,MADRID-BARAJAS
IBE1046,IBERIA,12:20,25.0,12/04/11,11:55,MADRID-BARAJAS
IBE1146,IBERIA,12:55,0.0,12/04/11,12:55,MADRID-BARAJAS
IBE1246,IBERIA,13:55,0.0,12/04/11,13:55,MADRID-BARAJAS
IBE1346,IBERIA,14:55,0.0,12/04/11,14:55,MADRID-BARAJAS
IBE1446,IBERIA,15:55,0.0,12/04/11,15:55,MADRID-BARAJAS
IBE1546,IBERIA,16:55,0.0,12/04/11,16:55,MADRID-BARAJAS
IBE1616,IBERIA,17:25,0.0,12/04/11,17:25,MADRID-BARAJAS
IBE1646,IBERIA,17:55,0.0,12/04/11,17:55,MADRID-BARAJAS
IBE1746,IBERIA,18:55,0.0,12/04/11,18:55,MADRID-BARAJAS
IBE1816,IBERIA,19:25,0.0,12/04/11,19:25,MADRID-BARAJAS
IBE1846,IBERIA,19:55,0.0,12/04/11,19:55,MADRID-BARAJAS
IBE1916,IBERIA,20:25,0.0,12/04/11,20:25,MADRID-BARAJAS
IBE1946,IBERIA,20:55,0.0,12/04/11,20:55,MADRID-BARAJAS
IBE2016,IBERIA,21:25,0.0,12/04/11,21:25,MADRID-BARAJAS
IBE2116,IBERIA,22:25,0.0,12/04/11,22:25,MADRID-BARAJAS
IBE2230,IBERIA,23:40,0.0,12/04/11,23:40,MADRID-BARAJAS
IBE2714,IBERIA,14:55,0.0,12/04/11,14:55,MADRID-BARAJAS
IBE2738,IBERIA,19:55,0.0,12/04/11,19:55,MADRID-BARAJAS
IBE2742,IBERIA,20:25,0.0,12/04/11,20:25,MADRID-BARAJAS
IBE2752,IBERIA,15:55,0.0,12/04/11,15:55,MADRID-BARAJAS
IBE2764,IBERIA,20:55,0.0,12/04/11,20:55,MADRID-BARAJAS
IBE2766,IBERIA,21:25,0.0,12/04/11,21:25,MADRID-BARAJAS
IBE2790,IBERIA,22:25,0.0,12/04/11,22:25,MADRID-BARAJAS
IBE5136,IBERIA,21:40,0.0,12/04/11,21:40,IBIZA
IBE5601,IBERIA,16:35,0.0,12/04/11,16:35,A CORUÑA
IBE5603,IBERIA,9:45,,13/04/11,9:45,ALICANTE
IBE5605,IBERIA,22:00,0.0,12/04/11,22:00,ALICANTE
IBE5607,IBERIA,10:05,0.0,13/04/11,10:05,BILBAO
IBE5609,IBERIA,17:05,0.0,12/04/11,17:05,BILBAO
IBE5611,IBERIA,20:05,0.0,12/04/11,20:05,BILBAO
IBE5617,IBERIA,10:05,0.0,13/04/11,10:05,ASTURIAS
IBE5619,IBERIA,21:00,0.0,12/04/11,21:00,ASTURIAS
IBE5623,IBERIA,0:05,,13/04/11,0:05,SANTIAGO DE COMPOSTELA
IBE5627,IBERIA,11:05,20.0,12/04/11,10:45,FEDERICO GARCÍA LORCA GRANADA-JAÉN
IBE5629,IBERIA,23:15,0.0,12/04/11,23:15,FEDERICO GARCÍA LORCA GRANADA-JAÉN
IBE5630,IBERIA,8:30,,13/04/11,8:30,MALAGA
IBE5632,IBERIA,18:55,0.0,12/04/11,18:55,MALAGA
IBE5638,IBERIA,22:15,0.0,12/04/11,22:15,MALAGA
IBE5640,IBERIA,15:15,0.0,12/04/11,15:15,VIGO
IBE5643,IBERIA,8:30,,13/04/11,8:30,SEVILLA
IBE5645,IBERIA,20:10,0.0,12/04/11,20:10,SEVILLA
IBE5650,IBERIA,18:05,0.0,12/04/11,18:05,SEVILLA
IBE5651,IBERIA,15:30,0.0,12/04/11,15:30,SEVILLA
IBE5657,IBERIA,23:15,0.0,12/04/11,23:15,AMSTERDAM/SCHIPHOL
IBE5659,IBERIA,14:10,0.0,12/04/11,14:10,JEREZ DE LA FRONTERA
IBE5663,IBERIA,14:00,0.0,12/04/11,14:00,ROMA /FIUMICINO
IBE5671,IBERIA,18:50,0.0,12/04/11,18:50,GRAN CANARIA
IBE5689,IBERIA,9:00,,13/04/11,9:00,MENORCA
IBE5698,IBERIA,22:35,0.0,12/04/11,22:35,PALMA DE MALLORCA
IBE5699,IBERIA,12:55,0.0,13/04/11,12:55,PALMA DE MALLORCA
IBE5699,IBERIA,12:40,-15.0,12/04/11,12:55,PALMA DE MALLORCA
IBE5700,IBERIA,19:00,0.0,12/04/11,19:00,PALMA DE MALLORCA
IBE5702,IBERIA,21:35,0.0,12/04/11,21:35,PALMA DE MALLORCA
IBE5709,IBERIA,18:05,0.0,12/04/11,18:05,ROMA /FIUMICINO
IBE5711,IBERIA,20:35,0.0,12/04/11,20:35,ROMA /FIUMICINO
IBE5725,IBERIA,11:01,-4.0,12/04/11,11:05,MILAN /MALPENSA
IBE5727,IBERIA,15:30,0.0,12/04/11,15:30,MILAN /MALPENSA
IBE5729,IBERIA,22:10,0.0,12/04/11,22:10,MILAN /MALPENSA
IBE5731,IBERIA,13:35,-15.0,12/04/11,13:50,VENECIA /MARCO POLO
IBE5735,IBERIA,15:00,0.0,12/04/11,15:00,NAPOLES
IBE5737,IBERIA,14:15,5.0,12/04/11,14:10,PALERMO /PUNTA RAISI
IBE5739,IBERIA,14:10,0.0,12/04/11,14:10,PISA / GALILEO GALILEI
IBE5757,IBERIA,16:45,0.0,12/04/11,16:45,PARIS /ORLY
IBE5763,IBERIA,18:40,0.0,12/04/11,18:40,PARIS /ORLY
IBE5765,IBERIA,20:00,0.0,12/04/11,20:00,ALICANTE
IBE5767,IBERIA,17:45,0.0,12/04/11,17:45,ATENAS
IBE5771,IBERIA,20:00,0.0,12/04/11,20:00,AMSTERDAM/SCHIPHOL
IBE5773,IBERIA,11:50,0.0,13/04/11,11:50,AMSTERDAM/SCHIPHOL
IBE5773,IBERIA,11:28,-22.0,12/04/11,11:50,AMSTERDAM/SCHIPHOL
IBE5774,IBERIA,19:40,0.0,12/04/11,19:40,ZURICH
IBE5778,IBERIA,0:35,,13/04/11,0:35,LISBOA
IBE5786,IBERIA,8:30,,13/04/11,8:30,MOSCU /DOMODEDOVO
IBE5792,IBERIA,11:20,0.0,13/04/11,11:20,BRUSELAS
IBE5792,IBERIA,11:13,-7.0,12/04/11,11:20,BRUSELAS
IBE5794,IBERIA,22:35,0.0,12/04/11,22:35,BRUSELAS
IBE5812,IBERIA,17:40,0.0,12/04/11,17:40,BRUSELAS
IBE5820,IBERIA,11:15,0.0,12/04/11,11:15,ROMA /FIUMICINO
IBE5855,IBERIA,14:35,0.0,12/04/11,14:35,PARIS /ORLY
IBE5861,IBERIA,9:25,,13/04/11,9:25,AMSTERDAM/SCHIPHOL
IBE5869,IBERIA,23:50,0.0,12/04/11,23:50,CIUDAD REAL
IBE5900,IBERIA,10:55,0.0,13/04/11,10:55,MALAGA
IBE5900,IBERIA,10:56,1.0,12/04/11,10:55,MALAGA
IBE5915,IBERIA,Cancelado,,12/04/11,16:15,DUBROVNIK
IBE5927,IBERIA,12:10,-5.0,12/04/11,12:15,MENORCA
IBE5935,IBERIA,12:45,0.0,13/04/11,12:45,PARIS /ORLY
IBE5935,IBERIA,12:30,-15.0,12/04/11,12:45,PARIS /ORLY
IBE5936,IBERIA,22:30,0.0,12/04/11,22:30,PARIS /ORLY
IBE5938,IBERIA,23:30,0.0,12/04/11,23:30,PARIS /ORLY
IBE5940,IBERIA,10:35,0.0,13/04/11,10:35,SEVILLA
IBE5940,IBERIA,10:44,9.0,12/04/11,10:35,SEVILLA
IBE5942,IBERIA,22:15,0.0,12/04/11,22:15,SEVILLA
IBE5989,IBERIA,11:35,0.0,13/04/11,11:35,ZURICH
IBE5989,IBERIA,11:35,0.0,12/04/11,11:35,ZURICH
IBE5991,IBERIA,8:05,,13/04/11,8:05,BILBAO
IBE5993,IBERIA,22:25,0.0,12/04/11,22:25,BILBAO
IBE6012,IBERIA,9:10,,13/04/11,9:10,MONTEVIDEO
IBE6032,IBERIA,11:55,0.0,13/04/11,11:55,FORTALEZA
