cartodb_id,gid,id_0,iso,name_0,id_1,name_1,id_2,name_2,id_3,name_3,id_4,name_4,varname_4,type_4,engtype_4,validfr_4,validto_4,remarks_4,shape_leng,shape_area,latitude,longitude,center_latitude,center_longitude,created_at,updated_at
1706,1669,70,ESP,Spain,936,Aragón,13606,Zaragoza,24332,n.a. (276),10564,Mezalocha,,Municipality,Municipality,Unknown,Present,,0.347608976455,0.00652937763000,41,-1,41.4249705,-1.0849334,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
8222,8220,70,ESP,Spain,951,Principado de Asturias,13645,Asturias,24608,Eo-Navia,17420,Valdés,,Municipality,Municipality,Unknown,Present,,1.42608224932,0.0394874015090,43,-6,43.5438889,-6.5358333,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
8246,8242,70,ESP,Spain,951,Principado de Asturias,13645,Asturias,24612,Oriente,17442,Llanes,,Municipality,Municipality,Unknown,Present,,1.27284161272,0.0295580506825,43,-5,43.4195333,-4.7509136,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
401,386,70,ESP,Spain,948,Islas Canarias,13640,Las Palmas,24587,n.a. (144),16906,Haría,,Municipality,Municipality,Unknown,Present,,0.698634129455,0.0104037644795,29,-13,29.1465119,-13.4976965,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7899,7886,70,ESP,Spain,949,La Rioja,13641,La Rioja,24590,n.a. (139),17056,Tricio,,Municipality,Municipality,Unknown,Present,,0.121483031834,0.000696488927000,42,-3,42.401255,-2.7189593,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3273,3248,70,ESP,Spain,938,Castilla y León,13612,Salamanca,24389,n.a. (218),12219,Sanchotello,,Municipality,Municipality,Unknown,Present,,0.165841399032,0.00148651053700,40,-6,40.4379058,-5.7527285,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1998,1959,70,ESP,Spain,938,Castilla y León,13609,Burgos,24356,n.a. (60),11134,Villasandino,,Municipality,Municipality,Unknown,Present,,0.323819204378,0.00478639520500,42,-4,42.3722642,-4.1090773,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3372,3349,70,ESP,Spain,938,Castilla y León,13613,Segovia,24392,n.a. (223),12292,Aldehorno,,Municipality,Municipality,Unknown,Present,,0.170352989629,0.00144282363350,42,-4,41.5123687,-3.7795517,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
533,543,70,ESP,Spain,935,Andalucía,13597,Cádiz,24271,Sierra de Cádiz,9358,Jerez de la Frontera,,Municipality,Municipality,Unknown,Present,,0.129019893781,0.000481253657000,37,-6,36.6865618,-6.1371725,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
85,82,70,ESP,Spain,936,Aragón,13604,Huesca,24316,n.a. (125),10034,Valle de Lierp,,Municipality,Municipality,Unknown,Present,,0.252331145442,0.00353876473150,42,0,42.38,0.489,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
274,265,70,ESP,Spain,938,Castilla y León,13616,Zamora,24411,n.a. (271),13033,Andavías,,Municipality,Municipality,Unknown,Present,,0.228902047639,0.00249501291600,42,-6,41.5971402,-5.861349,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1909,2555,70,ESP,Spain,938,Castilla y León,13609,Burgos,24363,n.a. (67),11494,Quintana del Pidio,,Municipality,Municipality,Unknown,Present,,0.156439800985,0.00117200421850,42,-4,41.7596015,-3.7515692,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1994,1955,70,ESP,Spain,938,Castilla y León,13609,Burgos,24356,n.a. (60),11130,Villamayor de Treviño,,Municipality,Municipality,Unknown,Present,,0.218310671479,0.00205253284200,42,-4,42.4595034,-4.119967,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1522,1487,70,ESP,Spain,936,Aragón,13605,Teruel,24325,n.a. (249),10314,Utrillas,,Municipality,Municipality,Unknown,Present,,0.397773666627,0.00427319775450,41,-1,40.8132669,-0.843052,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2194,2153,70,ESP,Spain,938,Castilla y León,13609,Burgos,24355,n.a. (202),11092,Rebolledo de la Torre,,Municipality,Municipality,Unknown,Present,,0.0482692692045,0.000135844950000,43,-4,42.6871967,-4.2273461,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1254,1216,70,ESP,Spain,935,Andalucía,13603,Sevilla,24312,n.a. (229),9965,Gelves,,Municipality,Municipality,Unknown,Present,,0.188993800917,0.000848219168000,37,-6,37.3367676,-6.0253336,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2227,2190,70,ESP,Spain,938,Castilla y León,13609,Burgos,24356,n.a. (60),11137,Villegas,,Municipality,Municipality,Unknown,Present,,0.227741124258,0.00268550778450,42,-4,42.4675231,-4.0171886,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1255,1217,70,ESP,Spain,935,Andalucía,13603,Sevilla,24312,n.a. (229),9966,Gines,,Municipality,Municipality,Unknown,Present,,0.0727369509284,0.000301964253000,37,-6,37.3871314,-6.078264,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1432,1393,70,ESP,Spain,936,Aragón,13605,Teruel,24324,n.a. (248),10214,Arens de Lledó,,Municipality,Municipality,Unknown,Present,,0.327069334197,0.00365091026100,41,0,40.9917216,0.2717271,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2124,2085,70,ESP,Spain,938,Castilla y León,13608,Ávila,24351,n.a. (25),11024,Santiago del Collado,,Municipality,Municipality,Unknown,Present,,0.293260281284,0.00453154236150,40,-5,40.4335637,-5.3565582,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
4283,4347,70,ESP,Spain,939,Castilla-La Mancha,13619,Cuenca,24428,n.a. (93),13378,Salmeroncillos,,Municipality,Municipality,Unknown,Present,,0.228370948417,0.00222082268650,41,-3,40.5,-2.5166667,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
750,746,70,ESP,Spain,935,Andalucía,13599,Granada,24287,n.a. (116),9573,Rubite,,Municipality,Municipality,Unknown,Present,,0.290670107433,0.00288092770550,37,-3,36.808843,-3.3480437,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3309,3287,70,ESP,Spain,938,Castilla y León,13612,Salamanca,24389,n.a. (218),12226,Valdehijaderos,,Municipality,Municipality,Unknown,Present,,0.135615819074,0.00121693232550,40,-6,40.4196302,-5.8477472,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1724,1687,70,ESP,Spain,936,Aragón,13606,Zaragoza,24332,n.a. (276),10582,Zaragoza,,Municipality,Municipality,Unknown,Present,,0.100310934958,0.000466774337500,42,-1,41.6562873,-0.8765379,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
163,1315,70,ESP,Spain,936,Aragón,13604,Huesca,24321,n.a. (130),10120,Capdesaso,,Municipality,Municipality,Unknown,Present,,0.179780258034,0.00192974856600,42,0,41.8439236,-0.1854229,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
4766,4745,70,ESP,Spain,939,Castilla-La Mancha,13620,Guadalajara,24438,n.a. (122),13796,Valdeconcha,,Municipality,Municipality,Unknown,Present,,0.212701606512,0.00248693829600,40,-3,40.4565354,-2.8759321,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2197,2156,70,ESP,Spain,938,Castilla y León,13609,Burgos,24356,n.a. (60),11095,Belbimbre,,Municipality,Municipality,Unknown,Present,,0.176784578137,0.00112129911000,42,-4,42.168708,-4.0123692,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
776,758,70,ESP,Spain,935,Andalucía,13600,Huelva,24290,n.a. (133),9641,Rosal de la Frontera,,Municipality,Municipality,Unknown,Present,,0.894203815573,0.0214774805580,38,-7,37.9677977,-7.2205268,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
154,151,70,ESP,Spain,936,Aragón,13606,Zaragoza,24330,n.a. (274),10451,Castejón de Valdejasa,,Municipality,Municipality,Unknown,Present,,0.489348685671,0.0119552098590,42,-1,41.9823343,-0.9950376,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1268,1229,70,ESP,Spain,935,Andalucía,13603,Sevilla,24312,n.a. (229),9978,Villanueva del Ariscal,,Municipality,Municipality,Unknown,Present,,0.100196791078,0.000483176449499,37,-6,37.3957217,-6.1413128,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1440,1400,70,ESP,Spain,936,Aragón,13605,Teruel,24324,n.a. (248),10221,Bordón,,Municipality,Municipality,Unknown,Present,,0.310631243438,0.00319911231900,41,0,40.6873617,-0.3218952,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
4660,4644,70,ESP,Spain,939,Castilla-La Mancha,13620,Guadalajara,24436,n.a. (120),13685,Matillas,,Municipality,Municipality,Unknown,Present,,0.140449600438,0.00111641149650,41,-3,40.9521146,-2.8423526,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3793,3777,70,ESP,Spain,938,Castilla y León,13615,Valladolid,24404,n.a. (264),12746,Arroyo de la Encomienda,,Municipality,Municipality,Unknown,Present,,0.164938799408,0.00127286713800,42,-5,41.6095218,-4.7964581,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
201,194,70,ESP,Spain,938,Castilla y León,13608,Ávila,24350,n.a. (24),10942,Manjabálago,,Municipality,Municipality,Unknown,Present,,0.261231428239,0.00182185487900,41,-5,40.664297,-5.0761665,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
318,307,70,ESP,Spain,944,Comunidad Valenciana,13632,Valencia,24528,Horta Nord,15927,Tavernes Blanques,Tabernes Blanques,Municipality,Municipality,Unknown,Present,,0.0378908282388,0.0000838667925004,40,0,39.5069902,-0.3655908,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3572,3550,70,ESP,Spain,938,Castilla y León,13614,Soria,24395,n.a. (233),12505,Castilfrío de la Sierra,,Municipality,Municipality,Unknown,Present,,0.195623056390,0.00131775365500,42,-2,41.9199757,-2.3055766,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1231,1213,70,ESP,Spain,935,Andalucía,13603,Sevilla,24312,n.a. (229),9962,Castilleja de la Cuesta,,Municipality,Municipality,Unknown,Present,,0.0643144284249,0.000218703167001,37,-6,37.3864354,-6.0518379,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
6508,6501,70,ESP,Spain,943,Comunidad Foral de Navarra,13629,Navarra,24504,n.a. (193),15538,Facería 50,,Municipality,Municipality,Unknown,Present,,0.0131061372728,0.00000817774400004,43,-2,42.7798315,-1.6873378,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
4810,4792,70,ESP,Spain,939,Castilla-La Mancha,13620,Guadalajara,24439,n.a. (123),13857,Rebollosa de Jadraque,,Municipality,Municipality,Unknown,Present,,0.126136875467,0.000803036970501,41,-3,41.0897617,-2.8418932,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
5803,5795,70,ESP,Spain,940,Cataluña,13625,Tarragona,24482,n.a. (242),14902,El Rourell,,Municipality,Municipality,Unknown,Present,,0.0744983267792,0.000235973386500,41,1,41.2229421,1.2174217,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1334,1298,70,ESP,Spain,936,Aragón,13604,Huesca,24319,n.a. (128),10103,Vencillón,,Municipality,Municipality,Unknown,Present,,0.162461103914,0.00164242252350,42,0,41.7051,0.3219554,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2825,2799,70,ESP,Spain,938,Castilla y León,13611,Palencia,24376,n.a. (200),11750,Villamoronta,,Municipality,Municipality,Unknown,Present,,0.183935114765,0.00144643845300,42,-5,42.4027452,-4.6987333,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
6177,6164,70,ESP,Spain,942,Comunidad de Madrid,13628,Madrid,24493,n.a. (178),15167,Pelayos de la Presa,,Municipality,Municipality,Unknown,Present,,0.111212524870,0.000800349754499,40,-4,40.3595374,-4.3341385,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
693,676,70,ESP,Spain,935,Andalucía,13599,Granada,24283,n.a. (112),9491,Polícar,,Municipality,Municipality,Unknown,Present,,0.108303071481,0.000542452741500,37,-3,37.2576437,-3.2321024,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2930,2903,70,ESP,Spain,938,Castilla y León,13611,Palencia,24378,n.a. (202),11858,San Cristóbal de Boedo,,Municipality,Municipality,Unknown,Present,,0.165446034040,0.00117151264500,43,-4,42.54183,-4.3532036,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
567,548,70,ESP,Spain,935,Andalucía,13597,Cádiz,24271,Sierra de Cádiz,9363,Torre Alháquime,,Municipality,Municipality,Unknown,Present,,0.193415383612,0.00174869268300,37,-5,36.9155351,-5.2347358,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
5485,5471,70,ESP,Spain,940,Cataluña,13623,Girona,24464,n.a. (105),14554,Vila-sacra,Vilasacra,Municipality,Municipality,Unknown,Present,,0.114419712104,0.000668039900501,42,3,42.2646479,3.0165578,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7726,7725,70,ESP,Spain,948,Islas Canarias,13640,Las Palmas,24587,n.a. (144),16915,Las Palmas de Gran Canaria,,Municipality,Municipality,Unknown,Present,,0.979857586375,0.00955157489050,28,-15,28.1248227,-15.4300065,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7718,7673,70,ESP,Spain,947,Islas Baleares,13639,Baleares,24578,n.a. (51),16807,Es Mercadal,,Municipality,Municipality,Unknown,Present,,1.30433330141,0.0147725987780,40,4,39.9908947,4.0938077,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
394,393,70,ESP,Spain,935,Andalucía,13599,Granada,24284,n.a. (113),9525,Monachil,,Municipality,Municipality,Unknown,Present,,0.508872348144,0.00901824171050,37,-3,37.1320894,-3.5394695,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3965,3950,70,ESP,Spain,938,Castilla y León,13615,Valladolid,24407,n.a. (267),12912,Quintanilla del Molar,,Municipality,Municipality,Unknown,Present,,0.167370500322,0.00159367404400,42,-5,41.9891835,-5.4485565,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2453,2432,70,ESP,Spain,938,Castilla y León,13612,Salamanca,24389,n.a. (218),12195,Las Casas del Conde,,Municipality,Municipality,Unknown,Present,,0.0508925752476,0.000134913620000,41,-6,40.5057829,-6.0393803,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1531,1495,70,ESP,Spain,936,Aragón,13605,Teruel,24326,n.a. (250),10328,Formiche Alto,,Municipality,Municipality,Unknown,Present,,0.370091630902,0.00825489890550,40,-1,40.3251447,-0.8938176,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7080,7098,70,ESP,Spain,945,Extremadura,13633,Badajoz,24547,n.a. (46),16205,Olivenza,,Municipality,Municipality,Unknown,Present,,1.37746311775,0.0448510812625,39,-7,38.6816461,-7.1015159,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
5396,5378,70,ESP,Spain,940,Cataluña,13623,Girona,24463,n.a. (104),14456,Camós,,Municipality,Municipality,Unknown,Present,,0.186115173061,0.00166519111950,42,3,41.7988335,3.0169206,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
423,415,70,ESP,Spain,935,Andalucía,13596,Almería,24258,n.a. (15),9230,Laroya,,Municipality,Municipality,Unknown,Present,,0.208029071931,0.00218811604700,37,-2,37.2966726,-2.3296012,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3325,3303,70,ESP,Spain,938,Castilla y León,13612,Salamanca,24390,n.a. (219),12242,Dios le Guarde,,Municipality,Municipality,Unknown,Present,,0.168992583939,0.00173398604750,41,-6,40.6424194,-6.3145968,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
446,439,70,ESP,Spain,935,Andalucía,13596,Almería,24259,n.a. (16),9254,Senés,,Municipality,Municipality,Unknown,Present,,0.362744571128,0.00509644113800,37,-2,37.2045712,-2.3475437,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
4074,4783,70,ESP,Spain,939,Castilla-La Mancha,13620,Guadalajara,24439,n.a. (123),13848,Monasterio,,Municipality,Municipality,Unknown,Present,,0.214915962799,0.00229312313650,41,-3,40.9849764,-3.0972353,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
6482,6485,70,ESP,Spain,943,Comunidad Foral de Navarra,13629,Navarra,24503,n.a. (192),15517,Urroz,Urrotz,Municipality,Municipality,Unknown,Present,,0.178576977883,0.00122573341350,43,-1,42.7786345,-1.4583692,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2556,2532,70,ESP,Spain,938,Castilla y León,13609,Burgos,24363,n.a. (67),11471,Fuentelisendo,,Municipality,Municipality,Unknown,Present,,0.121237531358,0.000774009881500,42,-4,41.6224012,-3.9019746,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
779,761,70,ESP,Spain,935,Andalucía,13600,Huelva,24290,n.a. (133),9644,Valdelarco,,Municipality,Municipality,Unknown,Present,,0.285051798907,0.00152173220000,38,-7,37.950437,-6.6832221,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
720,704,70,ESP,Spain,935,Andalucía,13599,Granada,24284,n.a. (113),9519,Jun,,Municipality,Municipality,Unknown,Present,,0.0853982746583,0.000373210328000,37,-4,37.2206402,-3.5944298,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
932,907,70,ESP,Spain,940,Cataluña,13622,Barcelona,24457,n.a. (36),14331,Ullastrell,,Municipality,Municipality,Unknown,Present,,0.166197203088,0.000797656658501,42,2,41.5270691,1.9569313,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
935,910,70,ESP,Spain,940,Cataluña,13622,Barcelona,24458,n.a. (37),14334,Abrera,,Municipality,Municipality,Unknown,Present,,0.242112662894,0.00216384077900,42,2,41.5160856,1.9021424,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3656,3638,70,ESP,Spain,938,Castilla y León,13614,Soria,24397,n.a. (235),12593,Bayubas de Arriba,,Municipality,Municipality,Unknown,Present,,0.213953999422,0.00222689664950,42,-3,41.5573548,-2.8862904,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
3252,3224,70,ESP,Spain,938,Castilla y León,13612,Salamanca,24389,n.a. (218),12183,Fresnedoso,,Municipality,Municipality,Unknown,Present,,0.130954559942,0.000876240470000,40,-6,40.436068,-5.7102277,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1095,1063,70,ESP,Spain,935,Andalucía,13602,Málaga,24305,n.a. (181),9812,Málaga,,Municipality,Municipality,Unknown,Present,,0.0579354903350,0.000131326703500,37,-4,36.7196459,-4.4200186,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
977,1242,70,ESP,Spain,935,Andalucía,13603,Sevilla,24314,n.a. (231),9991,Marinaleda,,Municipality,Municipality,Unknown,Present,,0.268487352701,0.00250630815750,37,-5,37.3747307,-4.9537921,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
321,310,70,ESP,Spain,944,Comunidad Valenciana,13632,Valencia,24529,Horta Oest,15930,Alaquàs,Alacuás,Municipality,Municipality,Unknown,Present,,0.135466253999,0.000399616563499,39,0,39.4570792,-0.4610681,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
994,967,70,ESP,Spain,935,Andalucía,13601,Jaén,24297,Área metropolitana de Jaén,9716,Santiago de Calatrava,,Municipality,Municipality,Unknown,Present,,0.287703215087,0.00479680108500,38,-4,37.752996,-4.1691076,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7680,7721,70,ESP,Spain,947,Islas Baleares,13639,Baleares,24586,n.a. (59),16855,Consell,,Municipality,Municipality,Unknown,Present,,0.164987595559,0.00146641384000,40,3,39.6701223,2.8161884,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7722,7677,70,ESP,Spain,947,Islas Baleares,13639,Baleares,24579,n.a. (52),16811,Formentera,,Municipality,Municipality,Unknown,Present,,1.13434257024,0.00913590531100,39,1,38.6964006,1.4531355,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1413,1376,70,ESP,Spain,936,Aragón,13604,Huesca,24323,n.a. (132),10191,Castiello de Jaca,,Municipality,Municipality,Unknown,Present,,0.226343362894,0.00191242131450,43,-1,42.6319002,-0.5506048,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1080,1045,70,ESP,Spain,935,Andalucía,13601,Jaén,24304,Sierra Sur,9794,Frailes,,Municipality,Municipality,Unknown,Present,,0.279399052713,0.00410972292650,37,-4,37.4851518,-3.8382139,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
7761,7710,70,ESP,Spain,947,Islas Baleares,13639,Baleares,24584,n.a. (57),16844,Pollença,Pollensa,Municipality,Municipality,Unknown,Present,,1.18183643266,0.0161358463505,40,3,39.8777548,3.017193,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
8038,8036,70,ESP,Spain,950,País Vasco,13643,Guipúzcoa,24603,n.a. (124),17201,Altzaga,Alzaga,Municipality,Municipality,Unknown,Present,,0.0785160811095,0.000283444106000,43,-2,43.0644901,-2.153833,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
6535,6527,70,ESP,Spain,944,Comunidad Valenciana,13630,Alicante,24505,Alacanti,15564,Busot,,Municipality,Municipality,Unknown,Present,,0.260505537422,0.00349879917400,39,0,38.4848258,-0.4172711,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1259,1221,70,ESP,Spain,935,Andalucía,13603,Sevilla,24312,n.a. (229),9970,Palomares del Río,,Municipality,Municipality,Unknown,Present,,0.182668678106,0.00131272555600,37,-6,37.3225566,-6.0577165,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1370,1333,70,ESP,Spain,936,Aragón,13604,Huesca,24322,n.a. (131),10138,Almuniente,,Municipality,Municipality,Unknown,Present,,0.301560149780,0.00409905239050,42,0,41.9496134,-0.4104751,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1382,1348,70,ESP,Spain,936,Aragón,13604,Huesca,24322,n.a. (131),10153,Huerto,,Municipality,Municipality,Unknown,Present,,0.553448786557,0.00939744240300,42,0,41.9318791,-0.1666296,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1555,1521,70,ESP,Spain,936,Aragón,13605,Teruel,24327,n.a. (251),10354,Camañas,,Municipality,Municipality,Unknown,Present,,0.389167081651,0.00839401368050,41,-1,40.6422607,-1.1372666,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1429,1390,70,ESP,Spain,936,Aragón,13605,Teruel,24324,n.a. (248),10211,Alcorisa,,Municipality,Municipality,Unknown,Present,,0.709977544506,0.0129020994355,41,0,40.8916884,-0.3806293,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1458,1421,70,ESP,Spain,936,Aragón,13605,Teruel,24324,n.a. (248),10248,Muniesa,,Municipality,Municipality,Unknown,Present,,0.581390637902,0.0138948624870,41,-1,41.0338563,-0.8120759,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1490,1455,70,ESP,Spain,936,Aragón,13605,Teruel,24325,n.a. (249),10282,Estercuel,,Municipality,Municipality,Unknown,Present,,0.380178129623,0.00594281398450,41,-1,40.8553858,-0.63077,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
2116,2077,70,ESP,Spain,938,Castilla y León,13608,Ávila,24351,n.a. (25),11016,Piedrahíta,,Municipality,Municipality,Unknown,Present,,0.324375505590,0.00304669648750,40,-5,40.4633952,-5.3281937,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1588,1554,70,ESP,Spain,936,Aragón,13605,Teruel,24328,n.a. (252),10387,Bezas,,Municipality,Municipality,Unknown,Present,,0.263584951372,0.00277475637700,40,-1,40.3319661,-1.3246905,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1614,1578,70,ESP,Spain,936,Aragón,13606,Zaragoza,24330,n.a. (274),10473,Salvatierra de Esca,,Municipality,Municipality,Unknown,Present,,0.518211888357,0.00889955514350,43,-1,42.6688183,-1.004887,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
1624,1587,70,ESP,Spain,936,Aragón,13606,Zaragoza,24330,n.a. (274),10482,Valpalmas,,Municipality,Municipality,Unknown,Present,,0.286391575041,0.00433803659900,42,-1,42.1582225,-0.854761,2011-04-26 16:51:25.614181,2011-04-27 11:54:47.741719
