Vuelo,Compañía,Fecha,scheduled,arrival,Retraso,late?,scheduled_hour,morning?,Origen
EZY3917,EASYJET AIRLINE CO. LTD.,12/04/2011,12:55,12:35,-20,FALSE,12,TRUE,PARIS /CHARLES DE GAULLE
BTI681,AIR BALTIC CORPORATION,12/04/2011,13:05,12:45,-20,FALSE,13,FALSE,RIGA
AA6287,AMERICAN AIRLINES,04/11/2013,14:20,14:00,-20,FALSE,14,FALSE,LONDRES / HEATHROW
BAW0474,BRITISH AIRWAYS,04/11/2013,14:20,14:00,-20,FALSE,14,FALSE,LONDRES / HEATHROW
IBE7459,IBERIA,04/11/2013,14:20,14:00,-20,FALSE,14,FALSE,LONDRES / HEATHROW
HV5135,TRANSAVIA.AIRLINES CV,04/11/2013,14:25,14:05,-20,FALSE,14,FALSE,AMSTERDAM/SCHIPHOL
EZY2263,EASYJET AIRLINE CO. LTD.,04/11/2013,14:30,14:10,-20,FALSE,14,FALSE,LONDRES /LUTON
AVA018,AVIANCA,12/04/2011,14:50,14:30,-20,FALSE,14,FALSE,BOGOTA /EL DORADO
IBE5136,IBERIA,12/04/2011,21:40,21:20,-20,FALSE,21,FALSE,IBIZA
VLG3517,VUELING AIRLINES,12/04/2011,21:40,21:20,-20,FALSE,21,FALSE,IBIZA
IBE5136,IBERIA,12/04/2011,21:40,21:20,-20,FALSE,21,FALSE,IBIZA
VLG3517,VUELING AIRLINES,12/04/2011,21:40,21:20,-20,FALSE,21,FALSE,IBIZA
AF2348,AIR FRANCE,12/04/2011,22:00,21:40,-20,FALSE,22,FALSE,PARIS /CHARLES DE GAULLE
MK9324,AIR MAURITIUS,12/04/2011,22:00,21:40,-20,FALSE,22,FALSE,PARIS /CHARLES DE GAULLE
UX3348,AIR EUROPA,12/04/2011,22:00,21:40,-20,FALSE,22,FALSE,PARIS /CHARLES DE GAULLE
AF2348,AIR FRANCE,12/04/2011,22:00,21:40,-20,FALSE,22,FALSE,PARIS /CHARLES DE GAULLE
MK9324,AIR MAURITIUS,12/04/2011,22:00,21:40,-20,FALSE,22,FALSE,PARIS /CHARLES DE GAULLE
UX3348,AIR EUROPA,12/04/2011,22:00,21:40,-20,FALSE,22,FALSE,PARIS /CHARLES DE GAULLE
AVA018,AVIANCA,12/04/2011,,14:30,-20,FALSE,14,FALSE,BOGOTA /EL DORADO
BTI681,AIR BALTIC CORPORATION,12/04/2011,,12:45,-20,FALSE,13,FALSE,RIGA
EZY3917,EASYJET AIRLINE CO. LTD.,12/04/2011,,12:35,-20,FALSE,12,TRUE,PARIS /CHARLES DE GAULLE
NAX3656,NORWEGIAN AIR SHUTTLE A.S.,12/04/2011,,11:40,-20,FALSE,12,TRUE,COPENHAGUE
JKK9426,SPANAIR,04/11/2013,12:05,11:46,-19,FALSE,12,TRUE,OPORTO
RYR6333,RYANAIR,04/11/2013,12:10,11:51,-19,FALSE,12,TRUE,SANTIAGO DE COMPOSTELA
A3680,AEGEAN AIRLINES,12/04/2011,11:00,10:42,-18,FALSE,11,TRUE,ATENAS
JKK9680,SPANAIR,12/04/2011,11:00,10:42,-18,FALSE,11,TRUE,ATENAS
TAP8799,TAP PORTUGAL,12/04/2011,11:00,10:42,-18,FALSE,11,TRUE,ATENAS
EZY3917,EASYJET AIRLINE CO. LTD.,04/11/2013,12:55,12:37,-18,FALSE,12,TRUE,PARIS /CHARLES DE GAULLE
A3680,AEGEAN AIRLINES,12/04/2011,,10:42,-18,FALSE,11,TRUE,ATENAS
JKK9680,SPANAIR,12/04/2011,,10:42,-18,FALSE,11,TRUE,ATENAS
TAP8799,TAP PORTUGAL,12/04/2011,,10:42,-18,FALSE,11,TRUE,ATENAS
MON516,MONARCH AIRLINES,12/04/2011,11:20,11:03,-17,FALSE,11,TRUE,MANCHESTER
MON516,MONARCH AIRLINES,12/04/2011,,11:03,-17,FALSE,11,TRUE,MANCHESTER
BER8166,AIR BERLIN INC.,04/11/2013,12:35,12:19,-16,FALSE,12,TRUE,HAMBURGO
BTI681,AIR BALTIC CORPORATION,04/11/2013,13:05,12:49,-16,FALSE,13,FALSE,RIGA
EIN564,AER LINGUS,12/04/2011,21:55,21:39,-16,FALSE,21,FALSE,DUBLIN
EIN564,AER LINGUS,12/04/2011,21:55,21:39,-16,FALSE,21,FALSE,DUBLIN
EZS1401,"EASYJET SWITZERLAND, S.A.",12/04/2011,11:25,11:10,-15,FALSE,11,TRUE,GINEBRA
HV6061,TRANSAVIA.AIRLINES CV,12/04/2011,12:45,12:30,-15,FALSE,12,TRUE,ROTTERDAM
IBE5935,IBERIA,12/04/2011,12:45,12:30,-15,FALSE,12,TRUE,PARIS /ORLY
VLG8026,VUELING AIRLINES,12/04/2011,12:45,12:30,-15,FALSE,12,TRUE,PARIS /ORLY
AUA397,AUSTRIAN AIRLINES,12/04/2011,12:50,12:35,-15,FALSE,12,TRUE,VIENA
IBE5699,IBERIA,12/04/2011,12:55,12:40,-15,FALSE,12,TRUE,PALMA DE MALLORCA
VLG3923,VUELING AIRLINES,12/04/2011,12:55,12:40,-15,FALSE,12,TRUE,PALMA DE MALLORCA
AZ7098,ALITALIA COMPAGNIA AEREA ITALIANA SPA,04/11/2013,13:30,13:15,-15,FALSE,13,FALSE,MILAN /LINATE
EZY6025,EASYJET AIRLINE CO. LTD.,04/11/2013,13:50,13:35,-15,FALSE,13,FALSE,BRISTOL
IBE5731,IBERIA,12/04/2011,13:50,13:35,-15,FALSE,13,FALSE,VENECIA /MARCO POLO
RYR6303,RYANAIR,12/04/2011,13:50,13:35,-15,FALSE,13,FALSE,FUERTEVENTURA
VLG6401,VUELING AIRLINES,12/04/2011,13:50,13:35,-15,FALSE,13,FALSE,VENECIA /MARCO POLO
VLG1096,VUELING AIRLINES,04/11/2013,14:00,13:45,-15,FALSE,14,FALSE,MADRID-BARAJAS
IBE5855,IBERIA,04/11/2013,14:35,14:20,-15,FALSE,14,FALSE,PARIS /ORLY
VLG8060,VUELING AIRLINES,04/11/2013,14:35,14:20,-15,FALSE,14,FALSE,PARIS /ORLY
RYR6389,RYANAIR,12/04/2011,21:35,21:20,-15,FALSE,21,FALSE,ROMA /CIAMPINO
RYR6389,RYANAIR,12/04/2011,21:35,21:20,-15,FALSE,21,FALSE,ROMA /CIAMPINO
VLG1082,VUELING AIRLINES,12/04/2011,22:00,21:45,-15,FALSE,22,FALSE,MADRID-BARAJAS
VLG1082,VUELING AIRLINES,12/04/2011,22:00,21:45,-15,FALSE,22,FALSE,MADRID-BARAJAS
AFL1668,AEROFLOT,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
AM6826,AEROMEXICO (AEROVIAS DE MEJICO),12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
AZ2785,ALITALIA COMPAGNIA AEREA ITALIANA SPA,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
KL3374,K.L.M. ROYAL DUTCH AIRLINES,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
UX9144,AIR EUROPA,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
AFL1668,AEROFLOT,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
AM6826,AEROMEXICO (AEROVIAS DE MEJICO),12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
AZ2785,ALITALIA COMPAGNIA AEREA ITALIANA SPA,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
KL3374,K.L.M. ROYAL DUTCH AIRLINES,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
UX9144,AIR EUROPA,12/04/2011,23:15,23:00,-15,FALSE,23,FALSE,TENERIFE NORTE
IBE5911,IBERIA,12/04/2011,23:45,23:30,-15,FALSE,23,FALSE,ROMA /FIUMICINO
VLG6115,VUELING AIRLINES,12/04/2011,23:45,23:30,-15,FALSE,23,FALSE,ROMA /FIUMICINO
IBE5911,IBERIA,12/04/2011,23:45,23:30,-15,FALSE,23,FALSE,ROMA /FIUMICINO
VLG6115,VUELING AIRLINES,12/04/2011,23:45,23:30,-15,FALSE,23,FALSE,ROMA /FIUMICINO
AUA397,AUSTRIAN AIRLINES,12/04/2011,,12:35,-15,FALSE,12,TRUE,VIENA
EZS1401,"EASYJET SWITZERLAND, S.A.",12/04/2011,,11:10,-15,FALSE,11,TRUE,GINEBRA
HV6061,TRANSAVIA.AIRLINES CV,12/04/2011,,12:30,-15,FALSE,12,TRUE,ROTTERDAM
IBE5699,IBERIA,12/04/2011,,12:40,-15,FALSE,12,TRUE,PALMA DE MALLORCA
IBE5731,IBERIA,12/04/2011,,13:35,-15,FALSE,13,FALSE,VENECIA /MARCO POLO
IBE5935,IBERIA,12/04/2011,,12:30,-15,FALSE,12,TRUE,PARIS /ORLY
RYR6303,RYANAIR,12/04/2011,,13:35,-15,FALSE,13,FALSE,FUERTEVENTURA
VLG3923,VUELING AIRLINES,12/04/2011,,12:40,-15,FALSE,12,TRUE,PALMA DE MALLORCA
VLG6401,VUELING AIRLINES,12/04/2011,,13:35,-15,FALSE,13,FALSE,VENECIA /MARCO POLO
VLG8026,VUELING AIRLINES,12/04/2011,,12:30,-15,FALSE,12,TRUE,PARIS /ORLY
JKK5705,SPANAIR,04/11/2013,11:55,11:41,-14,FALSE,11,TRUE,PALMA DE MALLORCA
JKK9426,SPANAIR,12/04/2011,12:05,11:51,-14,FALSE,12,TRUE,OPORTO
TAP730,TAP PORTUGAL,12/04/2011,12:05,11:51,-14,FALSE,12,TRUE,OPORTO
VLG1010,VUELING AIRLINES,12/04/2011,23:00,22:46,-14,FALSE,23,FALSE,MADRID-BARAJAS
VLG1010,VUELING AIRLINES,12/04/2011,23:00,22:46,-14,FALSE,23,FALSE,MADRID-BARAJAS
JKK9426,SPANAIR,12/04/2011,,11:51,-14,FALSE,12,TRUE,OPORTO
TAP730,TAP PORTUGAL,12/04/2011,,11:51,-14,FALSE,12,TRUE,OPORTO
VLG8026,VUELING AIRLINES,04/11/2013,12:45,12:32,-13,FALSE,12,TRUE,PARIS /ORLY
YW8781,AIR NOSTRUM,12/04/2011,22:40,22:27,-13,FALSE,22,FALSE,NIZA /COTE D-AZUR
YW8781,AIR NOSTRUM,12/04/2011,22:40,22:27,-13,FALSE,22,FALSE,NIZA /COTE D-AZUR
LH3302,LUFTHANSA,04/11/2013,11:50,11:38,-12,FALSE,11,TRUE,DUSSELDORF
JKK054,SPANAIR,12/04/2011,10:20,10:10,-10,FALSE,10,TRUE,ESTOCOLMO /ARLANDA
AUA8858,AUSTRIAN AIRLINES,12/04/2011,11:05,10:55,-10,FALSE,11,TRUE,VIGO
JKK6427,SPANAIR,12/04/2011,11:05,10:55,-10,FALSE,11,TRUE,VIGO
UX3911,AIR EUROPA,12/04/2011,11:05,10:55,-10,FALSE,11,TRUE,VIGO
SAS1585,SCANDINAVIANAIRLINES SYSTEM,04/11/2013,11:35,11:25,-10,FALSE,11,TRUE,COPENHAGUE
SAS1585,SCANDINAVIANAIRLINES SYSTEM,12/04/2011,11:35,11:25,-10,FALSE,11,TRUE,COPENHAGUE
LX1934,SWISS INTERNATIONAL AIR LINES,04/11/2013,11:50,11:40,-10,FALSE,11,TRUE,BASEL /MULHOUSE
AFL287,AEROFLOT,04/11/2013,12:35,12:25,-10,FALSE,12,TRUE,MOSCU /SHEREMETYEVO
UX3284,AIR EUROPA,04/11/2013,12:35,12:25,-10,FALSE,12,TRUE,MOSCU /SHEREMETYEVO
AFL287,AEROFLOT,12/04/2011,12:35,12:25,-10,FALSE,12,TRUE,MOSCU /SHEREMETYEVO
UX3284,AIR EUROPA,12/04/2011,12:35,12:25,-10,FALSE,12,TRUE,MOSCU /SHEREMETYEVO
IBE7877,IBERIA,12/04/2011,13:00,12:50,-10,FALSE,13,FALSE,PRAGA
KE7669,KOREAN AIR LINES,12/04/2011,13:00,12:50,-10,FALSE,13,FALSE,PRAGA
OK688,CZECH AIRLINES,12/04/2011,13:00,12:50,-10,FALSE,13,FALSE,PRAGA
EZY3031,EASYJET AIRLINE CO. LTD.,04/11/2013,13:15,13:05,-10,FALSE,13,FALSE,LONDRES /STANSTED
AF1230,AIR FRANCE,04/11/2013,13:45,13:35,-10,FALSE,13,FALSE,PARIS /ORLY
IBE5731,IBERIA,04/11/2013,13:50,13:40,-10,FALSE,13,FALSE,VENECIA /MARCO POLO
VLG6401,VUELING AIRLINES,04/11/2013,13:50,13:40,-10,FALSE,13,FALSE,VENECIA /MARCO POLO
IBE5663,IBERIA,04/11/2013,14:00,13:50,-10,FALSE,14,FALSE,ROMA /FIUMICINO
SRK101,"SKYWORK, S.A.",04/11/2013,14:00,13:50,-10,FALSE,14,FALSE,BERNA
AA6287,AMERICAN AIRLINES,12/04/2011,14:20,14:10,-10,FALSE,14,FALSE,LONDRES / HEATHROW
IBE7459,IBERIA,12/04/2011,14:20,14:10,-10,FALSE,14,FALSE,LONDRES / HEATHROW
AUA8850,AUSTRIAN AIRLINES,12/04/2011,23:20,23:10,-10,FALSE,23,FALSE,ASTURIAS
JKK6449,SPANAIR,12/04/2011,23:20,23:10,-10,FALSE,23,FALSE,ASTURIAS
UX3920,AIR EUROPA,12/04/2011,23:20,23:10,-10,FALSE,23,FALSE,ASTURIAS
AUA8850,AUSTRIAN AIRLINES,12/04/2011,23:20,23:10,-10,FALSE,23,FALSE,ASTURIAS
JKK6449,SPANAIR,12/04/2011,23:20,23:10,-10,FALSE,23,FALSE,ASTURIAS
UX3920,AIR EUROPA,12/04/2011,23:20,23:10,-10,FALSE,23,FALSE,ASTURIAS
AA6287,AMERICAN AIRLINES,12/04/2011,,14:10,-10,FALSE,14,FALSE,LONDRES / HEATHROW
AFL287,AEROFLOT,12/04/2011,,12:25,-10,FALSE,12,TRUE,MOSCU /SHEREMETYEVO
AUA8858,AUSTRIAN AIRLINES,12/04/2011,,10:55,-10,FALSE,11,TRUE,VIGO
IBE7459,IBERIA,12/04/2011,,14:10,-10,FALSE,14,FALSE,LONDRES / HEATHROW
IBE7877,IBERIA,12/04/2011,,12:50,-10,FALSE,13,FALSE,PRAGA
JKK054,SPANAIR,12/04/2011,,10:10,-10,FALSE,10,TRUE,ESTOCOLMO /ARLANDA
JKK6427,SPANAIR,12/04/2011,,10:55,-10,FALSE,11,TRUE,VIGO
KE7669,KOREAN AIR LINES,12/04/2011,,12:50,-10,FALSE,13,FALSE,PRAGA
OK688,CZECH AIRLINES,12/04/2011,,12:50,-10,FALSE,13,FALSE,PRAGA
SAS1585,SCANDINAVIANAIRLINES SYSTEM,12/04/2011,,11:25,-10,FALSE,11,TRUE,COPENHAGUE
UX3284,AIR EUROPA,12/04/2011,,12:25,-10,FALSE,12,TRUE,MOSCU /SHEREMETYEVO
UX3911,AIR EUROPA,12/04/2011,,10:55,-10,FALSE,11,TRUE,VIGO
AUA8842,AUSTRIAN AIRLINES,12/04/2011,10:45,10:36,-9,FALSE,10,TRUE,SEVILLA
JKK6601,SPANAIR,12/04/2011,10:45,10:36,-9,FALSE,10,TRUE,SEVILLA
UX3860,AIR EUROPA,12/04/2011,10:45,10:36,-9,FALSE,10,TRUE,SEVILLA
AZ074,ALITALIA COMPAGNIA AEREA ITALIANA SPA,12/04/2011,10:55,10:46,-9,FALSE,10,TRUE,ROMA /FIUMICINO
AF1348,AIR FRANCE,12/04/2011,11:15,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
AM6010,AEROMEXICO (AEROVIAS DE MEJICO),12/04/2011,11:15,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
DL8392,DELTA AIR LINES,12/04/2011,11:15,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
KQ3048,KENYA AIRWAYS LTD.,12/04/2011,11:15,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
MK9320,AIR MAURITIUS,12/04/2011,11:15,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
UX3486,AIR EUROPA,12/04/2011,11:15,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
RYR6383,RYANAIR,04/11/2013,11:45,11:36,-9,FALSE,11,TRUE,MALAGA
LH3302,LUFTHANSA,12/04/2011,11:50,11:41,-9,FALSE,11,TRUE,DUSSELDORF
JKK5705,SPANAIR,12/04/2011,11:55,11:46,-9,FALSE,11,TRUE,PALMA DE MALLORCA
JKK6701,SPANAIR,12/04/2011,21:15,21:06,-9,FALSE,21,FALSE,ALICANTE
RYR6395,RYANAIR,12/04/2011,21:15,21:06,-9,FALSE,21,FALSE,DUBLIN
UX3932,AIR EUROPA,12/04/2011,21:15,21:06,-9,FALSE,21,FALSE,ALICANTE
JKK6701,SPANAIR,12/04/2011,21:15,21:06,-9,FALSE,21,FALSE,ALICANTE
RYR6395,RYANAIR,12/04/2011,21:15,21:06,-9,FALSE,21,FALSE,DUBLIN
UX3932,AIR EUROPA,12/04/2011,21:15,21:06,-9,FALSE,21,FALSE,ALICANTE
IBE5853,IBERIA,12/04/2011,21:30,21:21,-9,FALSE,21,FALSE,PARIS /ORLY
VLG8058,VUELING AIRLINES,12/04/2011,21:30,21:21,-9,FALSE,21,FALSE,PARIS /ORLY
IBE5853,IBERIA,12/04/2011,21:30,21:21,-9,FALSE,21,FALSE,PARIS /ORLY
VLG8058,VUELING AIRLINES,12/04/2011,21:30,21:21,-9,FALSE,21,FALSE,PARIS /ORLY
IBE5794,IBERIA,12/04/2011,22:35,22:26,-9,FALSE,22,FALSE,BRUSELAS
VLG8991,VUELING AIRLINES,12/04/2011,22:35,22:26,-9,FALSE,22,FALSE,BRUSELAS
IBE5794,IBERIA,12/04/2011,22:35,22:26,-9,FALSE,22,FALSE,BRUSELAS
VLG8991,VUELING AIRLINES,12/04/2011,22:35,22:26,-9,FALSE,22,FALSE,BRUSELAS
AF1348,AIR FRANCE,12/04/2011,,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
AM6010,AEROMEXICO (AEROVIAS DE MEJICO),12/04/2011,,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
AUA8842,AUSTRIAN AIRLINES,12/04/2011,,10:36,-9,FALSE,10,TRUE,SEVILLA
AZ074,ALITALIA COMPAGNIA AEREA ITALIANA SPA,12/04/2011,,10:46,-9,FALSE,10,TRUE,ROMA /FIUMICINO
DL8392,DELTA AIR LINES,12/04/2011,,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
JKK5705,SPANAIR,12/04/2011,,11:46,-9,FALSE,11,TRUE,PALMA DE MALLORCA
JKK6601,SPANAIR,12/04/2011,,10:36,-9,FALSE,10,TRUE,SEVILLA
KQ3048,KENYA AIRWAYS LTD.,12/04/2011,,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
LH3302,LUFTHANSA,12/04/2011,,11:41,-9,FALSE,11,TRUE,DUSSELDORF
MK9320,AIR MAURITIUS,12/04/2011,,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
UX3486,AIR EUROPA,12/04/2011,,11:06,-9,FALSE,11,TRUE,PARIS /CHARLES DE GAULLE
UX3860,AIR EUROPA,12/04/2011,,10:36,-9,FALSE,10,TRUE,SEVILLA
UX3978,AIR EUROPA,12/04/2011,10:35,10:27,-8,FALSE,10,TRUE,MADRID-BARAJAS
EZS4525,"EASYJET SWITZERLAND, S.A.",12/04/2011,11:30,11:22,-8,FALSE,11,TRUE,BERLIN /SCHONEFELD
AA6294,AMERICAN AIRLINES,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
BAW0482,BRITISH AIRWAYS,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
IBE7455,IBERIA,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
JL7743,JAPAN AIRLINES,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
AA6294,AMERICAN AIRLINES,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
BAW0482,BRITISH AIRWAYS,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
IBE7455,IBERIA,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
JL7743,JAPAN AIRLINES,12/04/2011,21:25,21:17,-8,FALSE,21,FALSE,LONDRES / HEATHROW
RYR6356,RYANAIR,12/04/2011,21:35,21:27,-8,FALSE,21,FALSE,PARIS /BEAUVAIS-TILLE
RYR6356,RYANAIR,12/04/2011,21:35,21:27,-8,FALSE,21,FALSE,PARIS /BEAUVAIS-TILLE
JKK9492,SPANAIR,12/04/2011,22:55,22:47,-8,FALSE,22,FALSE,OPORTO
TAP736,TAP PORTUGAL,12/04/2011,22:55,22:47,-8,FALSE,22,FALSE,OPORTO
JKK9492,SPANAIR,12/04/2011,22:55,22:47,-8,FALSE,22,FALSE,OPORTO
